trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2024-01-02T16:00:00.000Z,2024-01-03T00:00:00.000Z,short,107.67,108.11,-0.4087,0.8730,-0.4087,0.8730,1.2817,8.00,opposite_signal,1,10000.00,9959.13
2,2024-01-03T08:00:00.000Z,2024-01-04T12:00:00.000Z,short,103.42,103.66,-0.2321,5.8403,-0.2321,5.8403,6.0723,28.00,opposite_signal,1,9959.13,9936.02
3,2024-01-05T00:00:00.000Z,2024-01-08T12:00:00.000Z,short,100.95,94.67,6.2209,13.5711,-0.1981,13.5711,7.3502,84.00,opposite_signal,1,9936.02,10554.13
4,2024-01-10T12:00:00.000Z,2024-01-10T20:00:00.000Z,short,94.78,102,-7.6176,0.0000,-7.6176,0.0000,7.6176,8.00,opposite_signal,1,10554.13,9750.16
5,2024-01-12T00:00:00.000Z,2024-01-13T20:00:00.000Z,short,97.73,95.85,1.9237,6.8045,-1.1255,6.8045,4.8808,44.00,opposite_signal,1,9750.16,9937.72
6,2024-01-14T20:00:00.000Z,2024-01-15T00:00:00.000Z,short,93.81,95.9,-2.2279,0.0000,-2.2279,0.0000,2.2279,4.00,opposite_signal,1,9937.72,9716.31
7,2024-01-15T12:00:00.000Z,2024-01-15T16:00:00.000Z,short,93.51,96.01,-2.6735,0.0000,-2.6735,0.0000,2.6735,4.00,opposite_signal,1,9716.31,9456.55
8,2024-01-15T20:00:00.000Z,2024-01-16T00:00:00.000Z,short,94.36,96.19,-1.9394,0.0000,-1.9394,0.0000,1.9394,4.00,opposite_signal,1,9456.55,9273.15
9,2024-01-31T12:00:00.000Z,2024-01-31T20:00:00.000Z,long,101.55,96.96,-4.5199,0.0000,-4.5199,0.0000,4.5199,8.00,opposite_signal,1,9273.15,8854.01
10,2024-02-02T00:00:00.000Z,2024-02-03T12:00:00.000Z,long,98.97,98,-0.9801,3.0312,-0.9801,3.0312,4.0113,36.00,opposite_signal,1,8854.01,8767.23
