trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2024-01-02T16:00:00.000Z,2024-01-03T00:00:00.000Z,short,107.67,108.11,-1.2260,0.8730,-0.4087,2.6191,3.8451,8.00,opposite_signal,3,10000.00,9877.40
2,2024-01-03T08:00:00.000Z,2024-01-04T12:00:00.000Z,short,103.42,103.66,-0.6962,5.8403,-0.2321,17.5208,18.2170,28.00,opposite_signal,3,9877.40,9808.64
3,2024-01-05T00:00:00.000Z,2024-01-08T12:00:00.000Z,short,100.95,94.67,18.6627,13.5711,-0.1981,40.7132,22.0505,84.00,opposite_signal,3,9808.64,11639.19
4,2024-01-10T12:00:00.000Z,2024-01-10T20:00:00.000Z,short,94.78,102,-22.8529,0.0000,-7.6176,0.0000,22.8529,8.00,opposite_signal,3,11639.19,8979.30
5,2024-01-12T00:00:00.000Z,2024-01-13T20:00:00.000Z,short,97.73,95.85,5.7710,6.8045,-1.1255,20.4134,14.6424,44.00,opposite_signal,3,8979.30,9497.49
6,2024-01-14T20:00:00.000Z,2024-01-15T00:00:00.000Z,short,93.81,95.9,-6.6837,0.0000,-2.2279,0.0000,6.6837,4.00,opposite_signal,3,9497.49,8862.71
7,2024-01-15T12:00:00.000Z,2024-01-15T16:00:00.000Z,short,93.51,96.01,-8.0205,0.0000,-2.6735,0.0000,8.0205,4.00,opposite_signal,3,8862.71,8151.87
8,2024-01-15T20:00:00.000Z,2024-01-16T00:00:00.000Z,short,94.36,96.19,-5.8181,0.0000,-1.9394,0.0000,5.8181,4.00,opposite_signal,3,8151.87,7677.58
9,2024-01-31T12:00:00.000Z,2024-01-31T20:00:00.000Z,long,101.55,96.96,-13.5598,0.0000,-4.5199,0.0000,13.5598,8.00,opposite_signal,3,7677.58,6636.52
10,2024-02-02T00:00:00.000Z,2024-02-03T12:00:00.000Z,long,98.97,98,-2.9403,3.0312,-0.9801,9.0937,12.0339,36.00,opposite_signal,3,6636.52,6441.38
11,2024-02-04T00:00:00.000Z,2024-02-04T04:00:00.000Z,long,98.35,96.51,-5.6126,0.0000,-1.8709,0.0000,5.6126,4.00,opposite_signal,3,6441.38,6079.85
12,2024-02-06T16:00:00.000Z,2024-02-06T20:00:00.000Z,long,97.58,96.88,-2.1521,0.0000,-0.7174,0.0000,2.1521,4.00,opposite_signal,3,6079.85,5949.01
13,2024-02-07T20:00:00.000Z,2024-02-12T00:00:00.000Z,long,101.14,106.27,15.2165,9.4226,-0.3065,28.2677,13.0512,100.00,opposite_signal,3,5949.01,6854.24
14,2024-02-12T12:00:00.000Z,2024-02-16T04:00:00.000Z,long,108.86,111.48,7.2203,7.6888,0.0000,23.0663,15.8460,88.00,opposite_signal,3,6854.24,7349.14
15,2024-02-18T08:00:00.000Z,2024-02-20T00:00:00.000Z,long,111.78,109.48,-6.1728,1.7087,-2.0576,5.1261,11.2990,40.00,opposite_signal,3,7349.14,6895.49
16,2024-02-25T04:00:00.000Z,2024-02-25T16:00:00.000Z,short,103.03,103.36,-0.9609,0.2426,-0.3203,0.7279,1.6888,12.00,opposite_signal,3,6895.49,6829.23
17,2024-02-26T08:00:00.000Z,2024-02-26T12:00:00.000Z,short,100.95,104.97,-11.9465,0.0000,-3.9822,0.0000,11.9465,4.00,opposite_signal,3,6829.23,6013.38
18,2024-03-03T08:00:00.000Z,2024-03-05T16:00:00.000Z,long,128.71,119.24,-22.0729,8.1346,-7.3576,24.4037,46.4766,56.00,opposite_signal,3,6013.38,4686.05
19,2024-03-06T04:00:00.000Z,2024-03-06T12:00:00.000Z,long,133.2,128.22,-11.2162,0.0000,-3.7387,0.0000,11.2162,8.00,opposite_signal,3,4686.05,4160.45
20,2024-03-06T16:00:00.000Z,2024-03-10T12:00:00.000Z,long,130.81,142.91,27.7502,13.8904,-0.0153,41.6711,13.9210,92.00,opposite_signal,3,4160.45,5314.99
21,2024-03-10T16:00:00.000Z,2024-03-11T00:00:00.000Z,long,145.11,141.17,-8.1455,0.0000,-2.7152,0.0000,8.1455,8.00,opposite_signal,3,5314.99,4882.05
22,2024-03-11T04:00:00.000Z,2024-03-16T16:00:00.000Z,long,147.85,180.08,65.3974,31.9445,-0.7981,95.8336,30.4363,132.00,opposite_signal,3,4882.05,8074.79
23,2024-03-17T00:00:00.000Z,2024-03-17T04:00:00.000Z,long,186.5,181.86,-7.4638,0.0000,-2.4879,0.0000,7.4638,4.00,opposite_signal,3,8074.79,7472.10
24,2024-03-17T08:00:00.000Z,2024-03-19T00:00:00.000Z,long,191.94,184.21,-12.0819,8.4089,-4.0273,25.2266,37.3085,40.00,opposite_signal,3,7472.10,6569.33
25,2024-03-27T08:00:00.000Z,2024-03-27T12:00:00.000Z,long,188.53,181.11,-11.8071,0.0000,-3.9357,0.0000,11.8071,4.00,opposite_signal,3,6569.33,5793.68
26,2024-03-28T20:00:00.000Z,2024-03-29T00:00:00.000Z,long,189.63,188.34,-2.0408,0.0000,-0.6803,0.0000,2.0408,4.00,opposite_signal,3,5793.68,5675.44
27,2024-03-29T20:00:00.000Z,2024-04-01T12:00:00.000Z,long,192.01,188.08,-6.1403,5.5049,-2.0468,16.5148,22.6551,64.00,opposite_signal,3,5675.44,5326.95
28,2024-04-03T08:00:00.000Z,2024-04-03T12:00:00.000Z,short,187.75,189.06,-2.0932,0.0000,-0.6977,0.0000,2.0932,4.00,opposite_signal,3,5326.95,5215.45
29,2024-04-03T16:00:00.000Z,2024-04-07T00:00:00.000Z,short,185.65,180.65,8.0797,8.5591,-0.7218,25.6773,17.5976,80.00,opposite_signal,3,5215.45,5636.84
30,2024-04-07T12:00:00.000Z,2024-04-08T04:00:00.000Z,short,179.64,180.15,-0.8517,1.7980,-0.2839,5.3941,6.2458,16.00,opposite_signal,3,5636.84,5588.83
31,2024-04-09T04:00:00.000Z,2024-04-14T20:00:00.000Z,short,175.62,151.25,41.6297,23.8526,-0.3360,71.5579,29.9283,136.00,opposite_signal,3,5588.83,7915.44
32,2024-04-15T12:00:00.000Z,2024-04-17T04:00:00.000Z,short,143.31,139.46,8.0595,10.9483,0.0000,32.8449,24.7854,40.00,opposite_signal,3,7915.44,8553.38
33,2024-04-17T08:00:00.000Z,2024-04-18T08:00:00.000Z,short,134.29,135.81,-3.3956,4.1552,-1.1319,12.4656,15.8612,24.00,opposite_signal,3,8553.38,8262.94
34,2024-04-27T20:00:00.000Z,2024-04-28T00:00:00.000Z,short,141.31,143.83,-5.3499,0.0000,-1.7833,0.0000,5.3499,4.00,opposite_signal,3,8262.94,7820.88
35,2024-04-28T08:00:00.000Z,2024-04-28T12:00:00.000Z,short,141.2,141.98,-1.6572,0.0000,-0.5524,0.0000,1.6572,4.00,opposite_signal,3,7820.88,7691.27
36,2024-04-28T20:00:00.000Z,2024-05-01T16:00:00.000Z,short,137.99,129.73,17.9578,12.6169,0.0000,37.8506,19.8927,68.00,opposite_signal,3,7691.27,9072.45
37,2024-05-19T16:00:00.000Z,2024-05-21T12:00:00.000Z,long,169.3,176.75,13.2014,10.6025,0.0000,31.8074,18.6060,44.00,opposite_signal,3,9072.45,10270.15
38,2024-05-21T20:00:00.000Z,2024-05-22T20:00:00.000Z,long,178.15,176.95,-2.0208,1.8187,-0.6736,5.4561,7.4768,24.00,opposite_signal,3,10270.15,10062.61
39,2024-05-23T00:00:00.000Z,2024-05-23T08:00:00.000Z,long,178.79,175.67,-5.2352,0.0000,-1.7451,0.0000,5.2352,8.00,opposite_signal,3,10062.61,9535.81
40,2024-05-30T12:00:00.000Z,2024-05-30T20:00:00.000Z,long,168.48,166.88,-2.8490,0.0000,-0.9497,0.0000,2.8490,8.00,opposite_signal,3,9535.81,9264.14
41,2024-05-31T04:00:00.000Z,2024-05-31T08:00:00.000Z,short,166.62,168.75,-3.8351,0.0000,-1.2784,0.0000,3.8351,4.00,opposite_signal,3,9264.14,8908.85
42,2024-05-31T12:00:00.000Z,2024-06-04T12:00:00.000Z,short,164.81,167.91,-5.6429,1.0254,-1.8810,3.0763,8.7191,96.00,opposite_signal,3,8908.85,8406.14
43,2024-06-06T20:00:00.000Z,2024-06-07T16:00:00.000Z,long,170.15,162.01,-14.3520,1.2048,-4.7840,3.6145,17.9665,20.00,opposite_signal,3,8406.14,7199.69
44,2024-06-12T16:00:00.000Z,2024-06-12T20:00:00.000Z,short,153.33,155.22,-3.6979,0.0000,-1.2326,0.0000,3.6979,4.00,opposite_signal,3,7199.69,6933.45
45,2024-06-13T00:00:00.000Z,2024-06-16T12:00:00.000Z,short,151.55,148.53,5.9782,6.4335,-0.3563,19.3006,13.3223,84.00,opposite_signal,3,6933.45,7347.94
46,2024-06-17T08:00:00.000Z,2024-06-20T08:00:00.000Z,short,143.94,139.34,9.5873,7.5587,-0.4377,22.6761,13.0888,72.00,opposite_signal,3,7347.94,8052.42
47,2024-06-20T12:00:00.000Z,2024-06-24T20:00:00.000Z,short,133.27,132.33,2.1160,6.0554,-1.3506,18.1661,16.0501,104.00,opposite_signal,3,8052.42,8222.81
