trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2024-01-02T16:00:00.000Z,2024-01-03T00:00:00.000Z,short,107.67,108.11,-0.4087,0.8730,-0.4087,0.8730,1.2817,8.00,opposite_signal,1,10000.00,9959.13
2,2024-01-03T08:00:00.000Z,2024-01-03T16:00:00.000Z,short,103.42,97.38,5.8403,5.8403,0.0000,5.8403,0.0000,8.00,take_profit_5pct,1,9959.13,10540.77
3,2024-01-05T00:00:00.000Z,2024-01-06T04:00:00.000Z,short,100.95,94.5,6.3893,6.3893,-0.1981,6.3893,0.0000,28.00,take_profit_5pct,1,10540.77,11214.26
4,2024-01-10T12:00:00.000Z,2024-01-10T20:00:00.000Z,short,94.78,102,-7.6176,0.0000,-7.6176,0.0000,7.6176,8.00,opposite_signal,1,11214.26,10359.99
5,2024-01-12T00:00:00.000Z,2024-01-12T20:00:00.000Z,short,97.73,92.12,5.7403,5.7403,-1.1255,5.7403,0.0000,20.00,take_profit_5pct,1,10359.99,10954.69
6,2024-01-14T20:00:00.000Z,2024-01-15T00:00:00.000Z,short,93.81,95.9,-2.2279,0.0000,-2.2279,0.0000,2.2279,4.00,opposite_signal,1,10954.69,10710.63
7,2024-01-15T12:00:00.000Z,2024-01-15T16:00:00.000Z,short,93.51,96.01,-2.6735,0.0000,-2.6735,0.0000,2.6735,4.00,opposite_signal,1,10710.63,10424.28
8,2024-01-15T20:00:00.000Z,2024-01-16T00:00:00.000Z,short,94.36,96.19,-1.9394,0.0000,-1.9394,0.0000,1.9394,4.00,opposite_signal,1,10424.28,10222.11
9,2024-01-31T12:00:00.000Z,2024-01-31T20:00:00.000Z,long,101.55,96.96,-4.5199,0.0000,-4.5199,0.0000,4.5199,8.00,opposite_signal,1,10222.11,9760.08
10,2024-02-02T00:00:00.000Z,2024-02-03T12:00:00.000Z,long,98.97,98,-0.9801,3.0312,-0.9801,3.0312,4.0113,36.00,opposite_signal,1,9760.08,9664.42
11,2024-02-04T00:00:00.000Z,2024-02-04T04:00:00.000Z,long,98.35,96.51,-1.8709,0.0000,-1.8709,0.0000,1.8709,4.00,opposite_signal,1,9664.42,9483.61
12,2024-02-06T16:00:00.000Z,2024-02-06T20:00:00.000Z,long,97.58,96.88,-0.7174,0.0000,-0.7174,0.0000,0.7174,4.00,opposite_signal,1,9483.61,9415.58
13,2024-02-07T20:00:00.000Z,2024-02-09T20:00:00.000Z,long,101.14,106.94,5.7346,5.7346,-0.3065,5.7346,0.0000,48.00,take_profit_5pct,1,9415.58,9955.53
14,2024-02-12T12:00:00.000Z,2024-02-14T08:00:00.000Z,long,108.86,115.66,6.2466,6.2466,0.0000,6.2466,0.0000,44.00,take_profit_5pct,1,9955.53,10577.41
15,2024-02-18T08:00:00.000Z,2024-02-20T00:00:00.000Z,long,111.78,109.48,-2.0576,1.7087,-2.0576,1.7087,3.7663,40.00,opposite_signal,1,10577.41,10359.76
16,2024-02-25T04:00:00.000Z,2024-02-25T16:00:00.000Z,short,103.03,103.36,-0.3203,0.2426,-0.3203,0.2426,0.5629,12.00,opposite_signal,1,10359.76,10326.58
17,2024-02-26T08:00:00.000Z,2024-02-26T12:00:00.000Z,short,100.95,104.97,-3.9822,0.0000,-3.9822,0.0000,3.9822,4.00,opposite_signal,1,10326.58,9915.36
18,2024-03-03T08:00:00.000Z,2024-03-05T12:00:00.000Z,long,128.71,139.18,8.1346,8.1346,0.0000,8.1346,0.0000,52.00,take_profit_5pct,1,9915.36,10721.93
19,2024-03-06T04:00:00.000Z,2024-03-06T12:00:00.000Z,long,133.2,128.22,-3.7387,0.0000,-3.7387,0.0000,3.7387,8.00,opposite_signal,1,10721.93,10321.07
20,2024-03-06T16:00:00.000Z,2024-03-07T00:00:00.000Z,long,130.81,138.19,5.6418,5.6418,-0.0153,5.6418,0.0000,8.00,take_profit_5pct,1,10321.07,10903.36
21,2024-03-10T16:00:00.000Z,2024-03-11T00:00:00.000Z,long,145.11,141.17,-2.7152,0.0000,-2.7152,0.0000,2.7152,8.00,opposite_signal,1,10903.36,10607.31
22,2024-03-11T04:00:00.000Z,2024-03-13T12:00:00.000Z,long,147.85,157.25,6.3578,6.3578,-0.7981,6.3578,0.0000,56.00,take_profit_5pct,1,10607.31,11281.70
23,2024-03-17T00:00:00.000Z,2024-03-17T04:00:00.000Z,long,186.5,181.86,-2.4879,0.0000,-2.4879,0.0000,2.4879,4.00,opposite_signal,1,11281.70,11001.02
24,2024-03-17T08:00:00.000Z,2024-03-17T20:00:00.000Z,long,191.94,201.86,5.1683,5.1683,0.0000,5.1683,0.0000,12.00,take_profit_5pct,1,11001.02,11569.59
25,2024-03-27T08:00:00.000Z,2024-03-27T12:00:00.000Z,long,188.53,181.11,-3.9357,0.0000,-3.9357,0.0000,3.9357,4.00,opposite_signal,1,11569.59,11114.24
26,2024-03-28T20:00:00.000Z,2024-03-29T00:00:00.000Z,long,189.63,188.34,-0.6803,0.0000,-0.6803,0.0000,0.6803,4.00,opposite_signal,1,11114.24,11038.63
27,2024-03-29T20:00:00.000Z,2024-03-31T20:00:00.000Z,long,192.01,202.45,5.4372,5.4372,0.0000,5.4372,0.0000,48.00,take_profit_5pct,1,11038.63,11638.83
28,2024-04-03T08:00:00.000Z,2024-04-03T12:00:00.000Z,short,187.75,189.06,-0.6977,0.0000,-0.6977,0.0000,0.6977,4.00,opposite_signal,1,11638.83,11557.62
29,2024-04-03T16:00:00.000Z,2024-04-05T04:00:00.000Z,short,185.65,175.04,5.7151,5.7151,-0.7218,5.7151,0.0000,36.00,take_profit_5pct,1,11557.62,12218.14
30,2024-04-07T12:00:00.000Z,2024-04-08T04:00:00.000Z,short,179.64,180.15,-0.2839,1.7980,-0.2839,1.7980,2.0819,16.00,opposite_signal,1,12218.14,12183.46
31,2024-04-09T04:00:00.000Z,2024-04-12T16:00:00.000Z,short,175.62,149.26,15.0097,15.0097,-0.3360,15.0097,0.0000,84.00,take_profit_5pct,1,12183.46,14012.15
32,2024-04-15T12:00:00.000Z,2024-04-16T00:00:00.000Z,short,143.31,134.6,6.0777,6.0777,0.0000,6.0777,0.0000,12.00,take_profit_5pct,1,14012.15,14863.78
33,2024-04-17T08:00:00.000Z,2024-04-18T08:00:00.000Z,short,134.29,135.81,-1.1319,4.1552,-1.1319,4.1552,5.2871,24.00,opposite_signal,1,14863.78,14695.54
34,2024-04-27T20:00:00.000Z,2024-04-28T00:00:00.000Z,short,141.31,143.83,-1.7833,0.0000,-1.7833,0.0000,1.7833,4.00,opposite_signal,1,14695.54,14433.47
35,2024-04-28T08:00:00.000Z,2024-04-28T12:00:00.000Z,short,141.2,141.98,-0.5524,0.0000,-0.5524,0.0000,0.5524,4.00,opposite_signal,1,14433.47,14353.74
36,2024-04-28T20:00:00.000Z,2024-04-30T08:00:00.000Z,short,137.99,128.78,6.6744,6.6744,0.0000,6.6744,0.0000,36.00,take_profit_5pct,1,14353.74,15311.76
37,2024-05-19T16:00:00.000Z,2024-05-20T04:00:00.000Z,long,169.3,178.03,5.1565,5.1565,0.0000,5.1565,0.0000,12.00,take_profit_5pct,1,15311.76,16101.32
