trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2024-01-02T12:00:00.000Z,2024-01-04T12:00:00.000Z,short,109.61,103.66,16.2850,11.1577,0.0000,33.4732,17.1882,48.00,opposite_signal,3,10000.00,11628.50
2,2024-01-05T00:00:00.000Z,2024-01-08T12:00:00.000Z,short,100.95,94.67,18.6627,13.5711,-0.1981,40.7132,22.0505,84.00,opposite_signal,3,11628.50,13798.69
3,2024-01-09T16:00:00.000Z,2024-01-10T20:00:00.000Z,short,99.29,102,-8.1881,4.5422,-2.7294,13.6267,21.8149,28.00,opposite_signal,3,13798.69,12668.84
4,2024-01-11T08:00:00.000Z,2024-01-11T12:00:00.000Z,long,104.43,100.79,-10.4568,0.0000,-3.4856,0.0000,10.4568,4.00,opposite_signal,3,12668.84,11344.09
5,2024-01-14T08:00:00.000Z,2024-01-14T12:00:00.000Z,short,96.74,99.49,-8.5280,0.0000,-2.8427,0.0000,8.5280,4.00,opposite_signal,3,11344.09,10376.66
6,2024-01-14T16:00:00.000Z,2024-01-16T04:00:00.000Z,short,96.14,97.73,-4.9615,2.7356,-1.6538,8.2068,13.1683,36.00,opposite_signal,3,10376.66,9861.82
7,2024-01-16T08:00:00.000Z,2024-01-17T00:00:00.000Z,short,96.7,99.96,-10.1138,0.0000,-3.3713,0.0000,10.1138,16.00,opposite_signal,3,9861.82,8864.42
8,2024-01-17T04:00:00.000Z,2024-01-17T08:00:00.000Z,short,97.32,102.02,-14.4883,0.0000,-4.8294,0.0000,14.4883,4.00,opposite_signal,3,8864.42,7580.12
9,2024-01-17T12:00:00.000Z,2024-01-17T16:00:00.000Z,short,99.38,100.79,-4.2564,0.0000,-1.4188,0.0000,4.2564,4.00,opposite_signal,3,7580.12,7257.48
10,2024-01-24T16:00:00.000Z,2024-01-24T20:00:00.000Z,short,86.37,88.77,-8.3362,0.0000,-2.7787,0.0000,8.3362,4.00,opposite_signal,3,7257.48,6652.48
11,2024-01-25T12:00:00.000Z,2024-01-26T08:00:00.000Z,short,86.41,91.95,-19.2339,0.0000,-6.4113,0.0000,19.2339,20.00,opposite_signal,3,6652.48,5372.95
12,2024-01-27T12:00:00.000Z,2024-01-28T16:00:00.000Z,long,92.83,94.49,5.3646,6.0002,0.0000,18.0006,12.6360,28.00,opposite_signal,3,5372.95,5661.19
13,2024-01-29T00:00:00.000Z,2024-01-29T04:00:00.000Z,long,97.85,96.72,-3.4645,0.0000,-1.1548,0.0000,3.4645,4.00,opposite_signal,3,5661.19,5465.06
14,2024-01-29T08:00:00.000Z,2024-01-30T20:00:00.000Z,long,97.44,101.4,12.1921,8.8567,0.0000,26.5702,14.3781,36.00,opposite_signal,3,5465.06,6131.36
15,2024-02-02T04:00:00.000Z,2024-02-02T16:00:00.000Z,long,101.21,99.46,-5.1872,0.7509,-1.7291,2.2527,7.4400,12.00,opposite_signal,3,6131.36,5813.32
16,2024-02-09T20:00:00.000Z,2024-02-10T20:00:00.000Z,long,106.94,109.01,5.8070,3.4879,0.0000,10.4638,4.6568,24.00,opposite_signal,3,5813.32,6150.90
17,2024-02-11T00:00:00.000Z,2024-02-11T04:00:00.000Z,long,109.43,109.22,-0.5757,0.0000,-0.1919,0.0000,0.5757,4.00,opposite_signal,3,6150.90,6115.48
18,2024-02-12T12:00:00.000Z,2024-02-13T12:00:00.000Z,long,108.86,110.31,3.9960,4.8503,0.0000,14.5508,10.5548,24.00,opposite_signal,3,6115.48,6359.86
19,2024-02-14T08:00:00.000Z,2024-02-15T04:00:00.000Z,long,115.66,115.01,-1.6860,1.3574,-0.5620,4.0723,5.7583,20.00,opposite_signal,3,6359.86,6252.63
20,2024-02-18T20:00:00.000Z,2024-02-19T00:00:00.000Z,short,112.24,111.68,1.4968,0.4989,0.0000,1.4968,0.0000,4.00,1d_trend_mismatch,3,6252.63,6346.22
21,2024-02-19T04:00:00.000Z,2024-02-19T08:00:00.000Z,long,113.22,112.67,-1.4573,0.0000,-0.4858,0.0000,1.4573,4.00,opposite_signal,3,6346.22,6253.73
22,2024-02-19T12:00:00.000Z,2024-02-19T16:00:00.000Z,long,113.69,111.94,-4.6178,0.0000,-1.5393,0.0000,4.6178,4.00,opposite_signal,3,6253.73,5964.95
23,2024-02-24T20:00:00.000Z,2024-02-26T12:00:00.000Z,short,104.01,104.97,-2.7690,2.9420,-0.9230,8.8261,11.5950,40.00,opposite_signal,3,5964.95,5799.78
24,2024-02-28T04:00:00.000Z,2024-02-28T16:00:00.000Z,long,110.08,111.34,3.4339,2.7162,0.0000,8.1486,4.7148,12.00,opposite_signal,3,5799.78,5998.94
25,2024-02-28T20:00:00.000Z,2024-03-01T20:00:00.000Z,long,119.03,129.43,26.2119,13.7276,0.0000,41.1829,14.9710,48.00,opposite_signal,3,5998.94,7571.37
26,2024-03-04T08:00:00.000Z,2024-03-04T12:00:00.000Z,long,132.58,131.77,-1.8329,0.0000,-0.6110,0.0000,1.8329,4.00,opposite_signal,3,7571.37,7432.60
27,2024-03-04T20:00:00.000Z,2024-03-05T00:00:00.000Z,long,133.27,130.13,-7.0684,0.0000,-2.3561,0.0000,7.0684,4.00,opposite_signal,3,7432.60,6907.24
28,2024-03-05T12:00:00.000Z,2024-03-05T16:00:00.000Z,long,139.18,119.24,-42.9803,0.0000,-14.3268,0.0000,42.9803,4.00,opposite_signal,3,6907.24,3938.48
29,2024-03-06T04:00:00.000Z,2024-03-06T12:00:00.000Z,long,133.2,128.22,-11.2162,0.0000,-3.7387,0.0000,11.2162,8.00,opposite_signal,3,3938.48,3496.74
30,2024-03-07T00:00:00.000Z,2024-03-08T20:00:00.000Z,long,138.19,144.79,14.3281,7.8081,0.0000,23.4243,9.0962,44.00,opposite_signal,3,3496.74,3997.75
