trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2024-01-02T12:00:00.000Z,2024-01-03T16:00:00.000Z,short,109.61,97.38,11.1577,11.1577,0.0000,11.1577,0.0000,28.00,take_profit_10pct,1,10000.00,11115.77
2,2024-01-05T00:00:00.000Z,2024-01-07T20:00:00.000Z,short,100.95,89.44,11.4017,11.4017,-0.1981,11.4017,0.0000,68.00,take_profit_10pct,1,11115.77,12383.16
3,2024-01-09T16:00:00.000Z,2024-01-10T20:00:00.000Z,short,99.29,102,-2.7294,4.5422,-2.7294,4.5422,7.2716,28.00,opposite_signal,1,12383.16,12045.18
4,2024-01-11T08:00:00.000Z,2024-01-11T12:00:00.000Z,long,104.43,100.79,-3.4856,0.0000,-3.4856,0.0000,3.4856,4.00,opposite_signal,1,12045.18,11625.33
5,2024-01-14T08:00:00.000Z,2024-01-14T12:00:00.000Z,short,96.74,99.49,-2.8427,0.0000,-2.8427,0.0000,2.8427,4.00,opposite_signal,1,11625.33,11294.86
6,2024-01-14T16:00:00.000Z,2024-01-16T04:00:00.000Z,short,96.14,97.73,-1.6538,2.7356,-1.6538,2.7356,4.3894,36.00,opposite_signal,1,11294.86,11108.06
7,2024-01-16T08:00:00.000Z,2024-01-17T00:00:00.000Z,short,96.7,99.96,-3.3713,0.0000,-3.3713,0.0000,3.3713,16.00,opposite_signal,1,11108.06,10733.58
8,2024-01-17T04:00:00.000Z,2024-01-17T08:00:00.000Z,short,97.32,102.02,-4.8294,0.0000,-4.8294,0.0000,4.8294,4.00,opposite_signal,1,10733.58,10215.21
9,2024-01-17T12:00:00.000Z,2024-01-17T16:00:00.000Z,short,99.38,100.79,-1.4188,0.0000,-1.4188,0.0000,1.4188,4.00,opposite_signal,1,10215.21,10070.28
10,2024-01-24T16:00:00.000Z,2024-01-24T20:00:00.000Z,short,86.37,88.77,-2.7787,0.0000,-2.7787,0.0000,2.7787,4.00,opposite_signal,1,10070.28,9790.45
11,2024-01-25T12:00:00.000Z,2024-01-26T08:00:00.000Z,short,86.41,91.95,-6.4113,0.0000,-6.4113,0.0000,6.4113,20.00,opposite_signal,1,9790.45,9162.76
12,2024-01-27T12:00:00.000Z,2024-01-28T16:00:00.000Z,long,92.83,94.49,1.7882,6.0002,0.0000,6.0002,4.2120,28.00,opposite_signal,1,9162.76,9326.61
13,2024-01-29T00:00:00.000Z,2024-01-29T04:00:00.000Z,long,97.85,96.72,-1.1548,0.0000,-1.1548,0.0000,1.1548,4.00,opposite_signal,1,9326.61,9218.90
14,2024-01-29T08:00:00.000Z,2024-01-30T20:00:00.000Z,long,97.44,101.4,4.0640,8.8567,0.0000,8.8567,4.7927,36.00,opposite_signal,1,9218.90,9593.56
15,2024-02-02T04:00:00.000Z,2024-02-02T16:00:00.000Z,long,101.21,99.46,-1.7291,0.7509,-1.7291,0.7509,2.4800,12.00,opposite_signal,1,9593.56,9427.68
16,2024-02-09T20:00:00.000Z,2024-02-10T20:00:00.000Z,long,106.94,109.01,1.9357,3.4879,0.0000,3.4879,1.5523,24.00,opposite_signal,1,9427.68,9610.17
17,2024-02-11T00:00:00.000Z,2024-02-11T04:00:00.000Z,long,109.43,109.22,-0.1919,0.0000,-0.1919,0.0000,0.1919,4.00,opposite_signal,1,9610.17,9591.73
18,2024-02-12T12:00:00.000Z,2024-02-13T12:00:00.000Z,long,108.86,110.31,1.3320,4.8503,0.0000,4.8503,3.5183,24.00,opposite_signal,1,9591.73,9719.49
19,2024-02-14T08:00:00.000Z,2024-02-15T04:00:00.000Z,long,115.66,115.01,-0.5620,1.3574,-0.5620,1.3574,1.9194,20.00,opposite_signal,1,9719.49,9664.86
20,2024-02-18T20:00:00.000Z,2024-02-19T00:00:00.000Z,short,112.24,111.68,0.4989,0.4989,0.0000,0.4989,0.0000,4.00,1d_trend_mismatch,1,9664.86,9713.08
21,2024-02-19T04:00:00.000Z,2024-02-19T08:00:00.000Z,long,113.22,112.67,-0.4858,0.0000,-0.4858,0.0000,0.4858,4.00,opposite_signal,1,9713.08,9665.90
22,2024-02-19T12:00:00.000Z,2024-02-19T16:00:00.000Z,long,113.69,111.94,-1.5393,0.0000,-1.5393,0.0000,1.5393,4.00,opposite_signal,1,9665.90,9517.12
23,2024-02-24T20:00:00.000Z,2024-02-26T12:00:00.000Z,short,104.01,104.97,-0.9230,2.9420,-0.9230,2.9420,3.8650,40.00,opposite_signal,1,9517.12,9429.27
24,2024-02-28T04:00:00.000Z,2024-02-28T16:00:00.000Z,long,110.08,111.34,1.1446,2.7162,0.0000,2.7162,1.5716,12.00,opposite_signal,1,9429.27,9537.20
25,2024-02-28T20:00:00.000Z,2024-02-29T12:00:00.000Z,long,119.03,132.32,11.1653,11.1653,0.0000,11.1653,0.0000,16.00,take_profit_10pct,1,9537.20,10602.06
26,2024-03-04T08:00:00.000Z,2024-03-04T12:00:00.000Z,long,132.58,131.77,-0.6110,0.0000,-0.6110,0.0000,0.6110,4.00,opposite_signal,1,10602.06,10537.28
