trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2024-01-02T12:00:00.000Z,2024-01-04T00:00:00.000Z,short,109.61,101.1,7.7639,11.1577,0.0000,11.1577,3.3939,36.00,trailing_stop_2pct,1,10000.00,10776.39
2,2024-01-05T00:00:00.000Z,2024-01-07T04:00:00.000Z,short,100.95,95.25,5.6464,7.9742,-0.1981,7.9742,2.3279,52.00,trailing_stop_2pct,1,10776.39,11384.86
3,2024-01-09T16:00:00.000Z,2024-01-10T20:00:00.000Z,short,99.29,102,-2.7294,4.5422,-2.7294,4.5422,7.2716,28.00,trailing_stop_2pct,1,11384.86,11074.13
4,2024-01-11T08:00:00.000Z,2024-01-11T12:00:00.000Z,long,104.43,100.79,-3.4856,0.0000,-3.4856,0.0000,3.4856,4.00,opposite_signal,1,11074.13,10688.13
5,2024-01-14T08:00:00.000Z,2024-01-14T12:00:00.000Z,short,96.74,99.49,-2.8427,0.0000,-2.8427,0.0000,2.8427,4.00,opposite_signal,1,10688.13,10384.30
6,2024-01-14T16:00:00.000Z,2024-01-15T00:00:00.000Z,short,96.14,95.9,0.2496,2.4235,0.0000,2.4235,2.1739,8.00,trailing_stop_2pct,1,10384.30,10410.22
7,2024-01-16T08:00:00.000Z,2024-01-17T00:00:00.000Z,short,96.7,99.96,-3.3713,0.0000,-3.3713,0.0000,3.3713,16.00,opposite_signal,1,10410.22,10059.27
8,2024-01-17T04:00:00.000Z,2024-01-17T08:00:00.000Z,short,97.32,102.02,-4.8294,0.0000,-4.8294,0.0000,4.8294,4.00,opposite_signal,1,10059.27,9573.46
9,2024-01-17T12:00:00.000Z,2024-01-17T16:00:00.000Z,short,99.38,100.79,-1.4188,0.0000,-1.4188,0.0000,1.4188,4.00,opposite_signal,1,9573.46,9437.63
10,2024-01-24T16:00:00.000Z,2024-01-24T20:00:00.000Z,short,86.37,88.77,-2.7787,0.0000,-2.7787,0.0000,2.7787,4.00,opposite_signal,1,9437.63,9175.39
11,2024-01-25T12:00:00.000Z,2024-01-26T08:00:00.000Z,short,86.41,91.95,-6.4113,0.0000,-6.4113,0.0000,6.4113,20.00,opposite_signal,1,9175.39,8587.13
12,2024-01-27T12:00:00.000Z,2024-01-28T16:00:00.000Z,long,92.83,94.49,1.7882,6.0002,0.0000,6.0002,4.2120,28.00,trailing_stop_2pct,1,8587.13,8740.68
13,2024-01-29T00:00:00.000Z,2024-01-29T04:00:00.000Z,long,97.85,96.72,-1.1548,0.0000,-1.1548,0.0000,1.1548,4.00,opposite_signal,1,8740.68,8639.74
14,2024-01-29T08:00:00.000Z,2024-01-30T20:00:00.000Z,long,97.44,101.4,4.0640,8.8567,0.0000,8.8567,4.7927,36.00,trailing_stop_2pct,1,8639.74,8990.87
15,2024-02-02T04:00:00.000Z,2024-02-02T16:00:00.000Z,long,101.21,99.46,-1.7291,0.7509,-1.7291,0.7509,2.4800,12.00,trailing_stop_2pct,1,8990.87,8835.41
16,2024-02-09T20:00:00.000Z,2024-02-10T08:00:00.000Z,long,106.94,108.14,1.1221,3.4879,0.0000,3.4879,2.3658,12.00,trailing_stop_2pct,1,8835.41,8934.55
17,2024-02-11T00:00:00.000Z,2024-02-11T04:00:00.000Z,long,109.43,109.22,-0.1919,0.0000,-0.1919,0.0000,0.1919,4.00,opposite_signal,1,8934.55,8917.40
18,2024-02-12T12:00:00.000Z,2024-02-13T12:00:00.000Z,long,108.86,110.31,1.3320,4.8503,0.0000,4.8503,3.5183,24.00,trailing_stop_2pct,1,8917.40,9036.18
19,2024-02-14T08:00:00.000Z,2024-02-15T04:00:00.000Z,long,115.66,115.01,-0.5620,1.3574,-0.5620,1.3574,1.9194,20.00,opposite_signal,1,9036.18,8985.40
20,2024-02-18T20:00:00.000Z,2024-02-19T00:00:00.000Z,short,112.24,111.68,0.4989,0.4989,0.0000,0.4989,0.0000,4.00,1d_trend_mismatch,1,8985.40,9030.23
21,2024-02-19T04:00:00.000Z,2024-02-19T08:00:00.000Z,long,113.22,112.67,-0.4858,0.0000,-0.4858,0.0000,0.4858,4.00,opposite_signal,1,9030.23,8986.36
22,2024-02-19T12:00:00.000Z,2024-02-19T16:00:00.000Z,long,113.69,111.94,-1.5393,0.0000,-1.5393,0.0000,1.5393,4.00,opposite_signal,1,8986.36,8848.04
23,2024-02-24T20:00:00.000Z,2024-02-26T12:00:00.000Z,short,104.01,104.97,-0.9230,2.9420,-0.9230,2.9420,3.8650,40.00,trailing_stop_2pct,1,8848.04,8766.37
24,2024-02-28T04:00:00.000Z,2024-02-28T16:00:00.000Z,long,110.08,111.34,1.1446,2.7162,0.0000,2.7162,1.5716,12.00,opposite_signal,1,8766.37,8866.72
25,2024-02-28T20:00:00.000Z,2024-02-29T20:00:00.000Z,long,119.03,125.68,5.5868,11.1653,0.0000,11.1653,5.5784,24.00,trailing_stop_2pct,1,8866.72,9362.08
26,2024-03-04T08:00:00.000Z,2024-03-04T12:00:00.000Z,long,132.58,131.77,-0.6110,0.0000,-0.6110,0.0000,0.6110,4.00,opposite_signal,1,9362.08,9304.89
27,2024-03-04T20:00:00.000Z,2024-03-05T00:00:00.000Z,long,133.27,130.13,-2.3561,0.0000,-2.3561,0.0000,2.3561,4.00,opposite_signal,1,9304.89,9085.65
28,2024-03-05T12:00:00.000Z,2024-03-05T16:00:00.000Z,long,139.18,119.24,-14.3268,0.0000,-14.3268,0.0000,14.3268,4.00,opposite_signal,1,9085.65,7783.97
29,2024-03-06T04:00:00.000Z,2024-03-06T12:00:00.000Z,long,133.2,128.22,-3.7387,0.0000,-3.7387,0.0000,3.7387,8.00,opposite_signal,1,7783.97,7492.95
30,2024-03-07T00:00:00.000Z,2024-03-07T20:00:00.000Z,long,138.19,143.82,4.0741,7.6417,0.0000,7.6417,3.5676,20.00,trailing_stop_2pct,1,7492.95,7798.22
31,2024-03-09T04:00:00.000Z,2024-03-09T08:00:00.000Z,long,148.33,146.82,-1.0180,0.0000,-1.0180,0.0000,1.0180,4.00,opposite_signal,1,7798.22,7718.83
32,2024-03-10T04:00:00.000Z,2024-03-10T08:00:00.000Z,long,148.27,145.42,-1.9222,0.0000,-1.9222,0.0000,1.9222,4.00,opposite_signal,1,7718.83,7570.46
33,2024-03-11T04:00:00.000Z,2024-03-11T12:00:00.000Z,long,147.85,147.06,-0.5343,0.2773,-0.5343,0.2773,0.8116,8.00,opposite_signal,1,7570.46,7530.01
34,2024-03-11T20:00:00.000Z,2024-03-12T08:00:00.000Z,long,148.83,150.45,1.0885,2.0359,0.0000,2.0359,0.9474,12.00,opposite_signal,1,7530.01,7611.98
35,2024-03-13T08:00:00.000Z,2024-03-14T12:00:00.000Z,long,153.73,167.64,9.0483,12.5935,0.0000,12.5935,3.5452,28.00,trailing_stop_2pct,1,7611.98,8300.73
36,2024-03-14T20:00:00.000Z,2024-03-15T08:00:00.000Z,long,176.65,170,-3.7645,0.0000,-3.7645,0.0000,3.7645,12.00,opposite_signal,1,8300.73,7988.25
37,2024-03-15T12:00:00.000Z,2024-03-16T16:00:00.000Z,long,181.84,180.08,-0.9679,7.2811,-0.9679,7.2811,8.2490,28.00,trailing_stop_2pct,1,7988.25,7910.93
38,2024-03-17T08:00:00.000Z,2024-03-18T12:00:00.000Z,long,191.94,203.81,6.1842,8.4089,0.0000,8.4089,2.2247,28.00,trailing_stop_2pct,1,7910.93,8400.16
39,2024-03-28T20:00:00.000Z,2024-03-29T00:00:00.000Z,long,189.63,188.34,-0.6803,0.0000,-0.6803,0.0000,0.6803,4.00,opposite_signal,1,8400.16,8343.02
40,2024-03-29T20:00:00.000Z,2024-03-30T20:00:00.000Z,long,192.01,194.2,1.1406,2.9946,0.0000,2.9946,1.8541,24.00,opposite_signal,1,8343.02,8438.18
41,2024-03-31T04:00:00.000Z,2024-03-31T08:00:00.000Z,long,196.74,195.83,-0.4625,0.0000,-0.4625,0.0000,0.4625,4.00,opposite_signal,1,8438.18,8399.15
42,2024-03-31T16:00:00.000Z,2024-04-01T04:00:00.000Z,long,200.13,197.96,-1.0843,1.2242,-1.0843,1.2242,2.3085,12.00,trailing_stop_2pct,1,8399.15,8308.08
43,2024-04-03T08:00:00.000Z,2024-04-04T08:00:00.000Z,short,187.75,185.62,1.1345,3.3182,-0.6977,3.3182,2.1838,24.00,trailing_stop_2pct,1,8308.08,8402.33
44,2024-04-07T04:00:00.000Z,2024-04-08T04:00:00.000Z,short,179.75,180.15,-0.2225,1.8581,-0.5452,1.8581,2.0807,24.00,trailing_stop_2pct,1,8402.33,8383.63
45,2024-04-08T12:00:00.000Z,2024-04-10T20:00:00.000Z,short,181.46,173.31,4.4913,7.4617,0.0000,7.4617,2.9704,56.00,trailing_stop_2pct,1,8383.63,8760.17
46,2024-04-15T12:00:00.000Z,2024-04-16T04:00:00.000Z,short,143.31,137.87,3.7960,6.0777,0.0000,6.0777,2.2818,16.00,trailing_stop_2pct,1,8760.17,9092.70
47,2024-04-17T08:00:00.000Z,2024-04-17T16:00:00.000Z,short,134.29,134.62,-0.2457,4.1552,-0.2457,4.1552,4.4009,8.00,trailing_stop_2pct,1,9092.70,9070.36
48,2024-04-19T00:00:00.000Z,2024-04-19T04:00:00.000Z,short,136.54,143.32,-4.9656,0.0000,-4.9656,0.0000,4.9656,4.00,opposite_signal,1,9070.36,8619.96
49,2024-04-19T20:00:00.000Z,2024-04-20T12:00:00.000Z,short,142.5,147.19,-3.2912,0.6667,-3.2912,0.6667,3.9579,16.00,trailing_stop_2pct,1,8619.96,8336.26
50,2024-04-23T12:00:00.000Z,2024-04-23T20:00:00.000Z,long,157.92,154.75,-2.0073,0.0000,-2.0073,0.0000,2.0073,8.00,opposite_signal,1,8336.26,8168.92
51,2024-04-24T04:00:00.000Z,2024-04-24T12:00:00.000Z,long,157.84,151.51,-4.0104,0.9440,-4.0104,0.9440,4.9544,8.00,trailing_stop_2pct,1,8168.92,7841.32
52,2024-04-27T20:00:00.000Z,2024-04-28T00:00:00.000Z,short,141.31,143.83,-1.7833,0.0000,-1.7833,0.0000,1.7833,4.00,opposite_signal,1,7841.32,7701.48
53,2024-04-28T08:00:00.000Z,2024-04-29T20:00:00.000Z,short,141.2,137.77,2.4292,4.6176,-0.6091,4.6176,2.1884,36.00,trailing_stop_2pct,1,7701.48,7888.57
54,2024-05-02T00:00:00.000Z,2024-05-02T04:00:00.000Z,short,130.06,131.39,-1.0226,0.0000,-1.0226,0.0000,1.0226,4.00,opposite_signal,1,7888.57,7807.90
55,2024-05-03T04:00:00.000Z,2024-05-03T12:00:00.000Z,short,137.23,142.09,-3.5415,0.2550,-3.5415,0.2550,3.7965,8.00,trailing_stop_2pct,1,7807.90,7531.38
56,2024-05-05T12:00:00.000Z,2024-05-05T16:00:00.000Z,long,147.49,146.07,-0.9628,0.0000,-0.9628,0.0000,0.9628,4.00,opposite_signal,1,7531.38,7458.87
57,2024-05-06T04:00:00.000Z,2024-05-07T12:00:00.000Z,long,148.73,154.71,4.0207,4.3031,0.0000,4.3031,0.2824,32.00,opposite_signal,1,7458.87,7758.77
58,2024-05-13T20:00:00.000Z,2024-05-15T12:00:00.000Z,short,147.54,151.61,-2.7586,3.7346,-2.7586,3.7346,6.4932,40.00,trailing_stop_2pct,1,7758.77,7544.74
59,2024-05-17T00:00:00.000Z,2024-05-18T16:00:00.000Z,long,162.19,172.25,6.2026,7.5282,0.0000,7.5282,1.3256,40.00,opposite_signal,1,7544.74,8012.71
60,2024-05-19T00:00:00.000Z,2024-05-19T08:00:00.000Z,long,174.32,171.76,-1.4686,0.0000,-1.4686,0.0000,1.4686,8.00,opposite_signal,1,8012.71,7895.04
61,2024-05-20T04:00:00.000Z,2024-05-21T04:00:00.000Z,long,178.03,181.28,1.8255,5.1789,-0.1854,5.1789,3.3534,24.00,trailing_stop_2pct,1,7895.04,8039.16
62,2024-05-27T16:00:00.000Z,2024-05-27T20:00:00.000Z,short,168.65,170.15,-0.8894,0.0000,-0.8894,0.0000,0.8894,4.00,opposite_signal,1,8039.16,7967.66
63,2024-05-28T00:00:00.000Z,2024-05-28T08:00:00.000Z,short,167.4,169.81,-1.4397,0.7826,-1.4397,0.7826,2.2222,8.00,trailing_stop_2pct,1,7967.66,7852.95
64,2024-05-29T04:00:00.000Z,2024-05-30T12:00:00.000Z,short,170.8,168.48,1.3583,3.3958,0.0000,3.3958,2.0375,32.00,trailing_stop_2pct,1,7852.95,7959.62
65,2024-06-12T16:00:00.000Z,2024-06-15T00:00:00.000Z,short,153.33,144.94,5.4719,7.5197,-1.2326,7.5197,2.0479,56.00,trailing_stop_2pct,1,7959.62,8395.16
66,2024-06-17T00:00:00.000Z,2024-06-17T16:00:00.000Z,short,147.36,144.57,1.8933,4.1599,0.0000,4.1599,2.2666,16.00,trailing_stop_2pct,1,8395.16,8554.11
67,2024-06-20T12:00:00.000Z,2024-06-21T20:00:00.000Z,short,133.27,134.6,-0.9980,1.4032,-0.9980,1.4032,2.4011,32.00,trailing_stop_2pct,1,8554.11,8468.74
68,2024-06-25T20:00:00.000Z,2024-06-26T00:00:00.000Z,short,136.58,138.46,-1.3765,0.0000,-1.3765,0.0000,1.3765,4.00,opposite_signal,1,8468.74,8352.17
69,2024-06-26T04:00:00.000Z,2024-06-27T08:00:00.000Z,short,137.94,139.05,-0.8047,1.4717,-0.8047,1.4717,2.2764,28.00,trailing_stop_2pct,1,8352.17,8284.96
70,2024-07-01T12:00:00.000Z,2024-07-01T16:00:00.000Z,long,148.5,147.32,-0.7946,0.0000,-0.7946,0.0000,0.7946,4.00,opposite_signal,1,8284.96,8219.13
71,2024-07-02T00:00:00.000Z,2024-07-02T04:00:00.000Z,long,149.16,147.43,-1.1598,0.0000,-1.1598,0.0000,1.1598,4.00,opposite_signal,1,8219.13,8123.80
72,2024-07-02T08:00:00.000Z,2024-07-02T12:00:00.000Z,long,149.68,148.39,-0.8618,0.0000,-0.8618,0.0000,0.8618,4.00,opposite_signal,1,8123.80,8053.78
73,2024-07-02T16:00:00.000Z,2024-07-03T00:00:00.000Z,long,152.79,150.56,-1.4595,0.8116,-1.4595,0.8116,2.2711,8.00,trailing_stop_2pct,1,8053.78,7936.24
74,2024-07-05T16:00:00.000Z,2024-07-06T04:00:00.000Z,short,134.97,136.94,-1.4596,0.4816,-1.4596,0.4816,1.9412,12.00,opposite_signal,1,7936.24,7820.40
75,2024-07-08T12:00:00.000Z,2024-07-08T20:00:00.000Z,short,137.43,139.81,-1.7318,0.0000,-1.7318,0.0000,1.7318,8.00,opposite_signal,1,7820.40,7684.97
76,2024-07-09T12:00:00.000Z,2024-07-09T16:00:00.000Z,short,140.52,142.12,-1.1386,0.0000,-1.1386,0.0000,1.1386,4.00,opposite_signal,1,7684.97,7597.47
77,2024-07-09T20:00:00.000Z,2024-07-10T00:00:00.000Z,short,141.42,141.73,-0.2192,0.0000,-0.2192,0.0000,0.2192,4.00,1d_trend_mismatch,1,7597.47,7580.81
78,2024-07-10T04:00:00.000Z,2024-07-10T08:00:00.000Z,long,144.17,142.79,-0.9572,0.0000,-0.9572,0.0000,0.9572,4.00,opposite_signal,1,7580.81,7508.25
79,2024-07-16T08:00:00.000Z,2024-07-17T08:00:00.000Z,long,157.32,160.84,2.2375,2.9367,0.0000,2.9367,0.6992,24.00,opposite_signal,1,7508.25,7676.24
80,2024-07-19T00:00:00.000Z,2024-07-19T04:00:00.000Z,long,161.83,161.42,-0.2534,0.0000,-0.2534,0.0000,0.2534,4.00,opposite_signal,1,7676.24,7656.80
81,2024-07-19T08:00:00.000Z,2024-07-20T08:00:00.000Z,long,162.65,168.03,3.3077,4.8017,0.0000,4.8017,1.4940,24.00,opposite_signal,1,7656.80,7910.06
82,2024-07-20T12:00:00.000Z,2024-07-21T04:00:00.000Z,long,169.28,171.33,1.2110,2.5520,0.0000,2.5520,1.3410,16.00,opposite_signal,1,7910.06,8005.85
83,2024-07-21T08:00:00.000Z,2024-07-22T00:00:00.000Z,long,172.88,180.94,4.6622,6.7156,0.0000,6.7156,2.0534,16.00,trailing_stop_2pct,1,8005.85,8379.10
84,2024-07-22T08:00:00.000Z,2024-07-22T12:00:00.000Z,long,180.59,179.88,-0.3932,0.0000,-0.3932,0.0000,0.3932,4.00,opposite_signal,1,8379.10,8346.16
85,2024-07-22T16:00:00.000Z,2024-07-22T20:00:00.000Z,long,182.86,178.9,-2.1656,0.0000,-2.1656,0.0000,2.1656,4.00,opposite_signal,1,8346.16,8165.41
86,2024-07-26T00:00:00.000Z,2024-07-27T12:00:00.000Z,long,175.75,182.52,3.8521,5.7411,0.0000,5.7411,1.8890,36.00,opposite_signal,1,8165.41,8479.95
87,2024-07-29T00:00:00.000Z,2024-07-29T12:00:00.000Z,long,192.25,186.95,-2.7568,0.0520,-2.7568,0.0520,2.8088,12.00,trailing_stop_2pct,1,8479.95,8246.17
88,2024-08-07T16:00:00.000Z,2024-08-08T00:00:00.000Z,short,143.16,153.09,-6.9363,0.0000,-6.9363,0.0000,6.9363,8.00,opposite_signal,1,8246.17,7674.19
89,2024-08-18T20:00:00.000Z,2024-08-20T00:00:00.000Z,short,142.42,145.58,-2.2188,0.0843,-2.2188,0.0843,2.3030,28.00,trailing_stop_2pct,1,7674.19,7503.92
90,2024-08-20T08:00:00.000Z,2024-08-21T16:00:00.000Z,short,145.4,143.43,1.3549,3.4663,0.0000,3.4663,2.1114,32.00,trailing_stop_2pct,1,7503.92,7605.59
91,2024-08-25T12:00:00.000Z,2024-08-25T16:00:00.000Z,long,159.35,159.1,-0.1569,0.0000,-0.1569,0.0000,0.1569,4.00,opposite_signal,1,7605.59,7593.66
92,2024-08-26T00:00:00.000Z,2024-08-26T04:00:00.000Z,long,160.11,159.11,-0.6246,0.0000,-0.6246,0.0000,0.6246,4.00,opposite_signal,1,7593.66,7546.23
93,2024-09-03T04:00:00.000Z,2024-09-04T04:00:00.000Z,short,134.6,130.3,3.1947,5.2452,0.0000,5.2452,2.0505,24.00,trailing_stop_2pct,1,7546.23,7787.31
94,2024-09-04T16:00:00.000Z,2024-09-07T12:00:00.000Z,short,133.19,128.84,3.2660,6.1116,-0.3379,6.1116,2.8456,68.00,trailing_stop_2pct,1,7787.31,8041.64
95,2024-09-10T04:00:00.000Z,2024-09-10T12:00:00.000Z,long,134.96,134.14,-0.6076,0.2001,-0.6076,0.2001,0.8076,8.00,opposite_signal,1,8041.64,7992.78
96,2024-09-10T16:00:00.000Z,2024-09-10T20:00:00.000Z,long,136.65,135.63,-0.7464,0.0000,-0.7464,0.0000,0.7464,4.00,opposite_signal,1,7992.78,7933.12
97,2024-09-12T04:00:00.000Z,2024-09-13T00:00:00.000Z,short,134.9,134.44,0.3410,0.9933,-0.8525,0.9933,0.6523,20.00,1d_trend_mismatch,1,7933.12,7960.17
98,2024-09-13T12:00:00.000Z,2024-09-14T04:00:00.000Z,long,136.59,137.51,0.6735,2.0792,0.0000,2.0792,1.4057,16.00,opposite_signal,1,7960.17,8013.79
99,2024-09-17T16:00:00.000Z,2024-09-18T20:00:00.000Z,short,132.23,134.34,-1.5957,3.4485,-1.5957,3.4485,5.0442,28.00,trailing_stop_2pct,1,8013.79,7885.91
100,2024-09-21T20:00:00.000Z,2024-09-22T00:00:00.000Z,long,149.41,148.09,-0.8835,0.0000,-0.8835,0.0000,0.8835,4.00,opposite_signal,1,7885.91,7816.24
101,2024-09-24T16:00:00.000Z,2024-09-25T04:00:00.000Z,long,148.24,149.77,1.0321,3.0289,0.0000,3.0289,1.9968,12.00,opposite_signal,1,7816.24,7896.91
102,2024-09-26T04:00:00.000Z,2024-09-27T08:00:00.000Z,long,151.81,156.08,2.8127,3.7283,0.0000,3.7283,0.9156,28.00,opposite_signal,1,7896.91,8119.03
103,2024-09-27T12:00:00.000Z,2024-09-27T16:00:00.000Z,long,159.03,157.59,-0.9055,0.0000,-0.9055,0.0000,0.9055,4.00,opposite_signal,1,8119.03,8045.51
104,2024-10-04T20:00:00.000Z,2024-10-06T12:00:00.000Z,short,143.24,146,-1.9268,0.9844,-1.9268,0.9844,2.9112,40.00,trailing_stop_2pct,1,8045.51,7890.49
105,2024-10-06T16:00:00.000Z,2024-10-06T20:00:00.000Z,short,145.42,146.48,-0.7289,0.0000,-0.7289,0.0000,0.7289,4.00,opposite_signal,1,7890.49,7832.97
