trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2025-12-19T09:00:00.000Z,2025-12-23T05:00:00.000Z,short,126.16,123.3,4.5339,2.2670,-1.4743,4.5339,0.0000,92.00,opposite_signal,2,10000.00,10453.39
2,2025-12-27T17:00:00.000Z,2025-12-30T05:00:00.000Z,short,124.05,125.03,-1.5800,0.9029,-3.5470,1.8057,3.3857,60.00,opposite_signal,2,10453.39,10288.23
3,2026-01-07T13:00:00.000Z,2026-01-08T17:00:00.000Z,long,136.27,140.64,6.4137,3.2069,-1.2255,6.4137,0.0000,28.00,opposite_signal,2,10288.23,10948.09
4,2026-01-10T05:00:00.000Z,2026-01-11T09:00:00.000Z,long,136.25,139.27,4.4330,2.2165,-0.4183,4.4330,0.0000,28.00,opposite_signal,2,10948.09,11433.42
5,2026-01-15T09:00:00.000Z,2026-01-21T17:00:00.000Z,long,141.51,129.73,-16.6490,2.3461,-11.2006,4.6922,21.3412,152.00,opposite_signal,2,11433.42,9529.87
6,2026-01-23T13:00:00.000Z,2026-01-28T17:00:00.000Z,short,127.28,122.88,6.9139,7.4246,-0.5657,14.8492,7.9353,124.00,opposite_signal,2,9529.87,10188.75
7,2026-01-30T09:00:00.000Z,2026-02-03T13:00:00.000Z,short,118.12,97.75,34.4903,17.2452,-0.0762,34.4903,0.0000,100.00,opposite_signal,2,10188.75,13702.89
8,2026-02-06T01:00:00.000Z,2026-02-09T01:00:00.000Z,short,81.28,83.39,-5.1919,0.0000,-8.6983,0.0000,5.1919,72.00,opposite_signal,2,13702.89,12991.45
9,2026-02-12T01:00:00.000Z,2026-02-15T13:00:00.000Z,short,81.86,86.1,-10.3591,5.2529,-10.7989,10.5057,20.8649,84.00,opposite_signal,2,12991.45,11645.64
10,2026-02-22T09:00:00.000Z,2026-02-24T17:00:00.000Z,long,83.27,81.74,-3.6748,0.0000,-7.8179,0.0000,3.6748,56.00,opposite_signal,2,11645.64,11217.69
11,2026-02-28T09:00:00.000Z,2026-03-05T21:00:00.000Z,short,82.22,88.42,-15.0815,0.0000,-13.9990,0.0000,15.0815,132.00,opposite_signal,2,11217.69,9525.90
12,2026-03-09T10:00:00.000Z,2026-03-11T22:00:00.000Z,short,85.07,85.02,0.1176,0.6348,-3.8556,1.2695,1.1520,60.00,opposite_signal,2,9525.90,9537.09
