Timestamp (UTC),Price,Support Line (MA),OTT Value,Trend,Signal Type
2025-12-18 00:00:00.000 UTC,119.54,124.25,125.11,bearish,
2025-12-19 00:00:00.000 UTC,126.20,124.72,125.11,bearish,
2025-12-20 00:00:00.000 UTC,125.77,124.98,125.11,bearish,
2025-12-21 00:00:00.000 UTC,126.00,125.15,125.11,bearish,price_support_cross
2025-12-22 00:00:00.000 UTC,125.84,125.30,125.11,bearish,
2025-12-23 00:00:00.000 UTC,123.93,125.07,125.11,bearish,price_support_cross
2025-12-24 00:00:00.000 UTC,122.44,124.64,125.11,bearish,
2025-12-25 00:00:00.000 UTC,119.99,123.40,125.11,bearish,
2025-12-26 00:00:00.000 UTC,122.19,123.36,125.11,bearish,
2025-12-27 00:00:00.000 UTC,124.65,123.60,124.26,bearish,
2025-12-28 00:00:00.000 UTC,125.17,123.70,124.21,bearish,
2025-12-29 00:00:00.000 UTC,123.14,123.62,124.21,bearish,
2025-12-30 00:00:00.000 UTC,124.88,123.69,124.21,bearish,
2025-12-31 00:00:00.000 UTC,124.47,123.73,124.21,bearish,
2026-01-01 00:00:00.000 UTC,126.74,124.10,124.21,bearish,
2026-01-02 00:00:00.000 UTC,132.24,126.81,124.21,bearish,price_support_cross
2026-01-03 00:00:00.000 UTC,133.31,129.98,124.21,bearish,
2026-01-04 00:00:00.000 UTC,134.06,131.91,125.91,bullish,
2026-01-05 00:00:00.000 UTC,137.90,134.82,129.06,bullish,
2026-01-06 00:00:00.000 UTC,141.03,137.98,130.97,bullish,
2026-01-07 00:00:00.000 UTC,136.27,137.34,133.86,bullish,
2026-01-08 00:00:00.000 UTC,138.25,137.68,137.00,bullish,
2026-01-09 00:00:00.000 UTC,135.79,137.13,137.00,bullish,
2026-01-10 00:00:00.000 UTC,135.68,136.76,137.00,bullish,price_support_cross
2026-01-11 00:00:00.000 UTC,139.50,137.37,137.00,bullish,price_support_cross
2026-01-12 00:00:00.000 UTC,139.06,137.67,137.00,bullish,
2026-01-13 00:00:00.000 UTC,145.43,139.86,137.00,bullish,
2026-01-14 00:00:00.000 UTC,146.69,141.50,137.00,bullish,
2026-01-15 00:00:00.000 UTC,142.36,141.53,138.86,bullish,
2026-01-16 00:00:00.000 UTC,144.83,142.34,140.50,bullish,
2026-01-17 00:00:00.000 UTC,143.70,142.56,140.53,bullish,
2026-01-18 00:00:00.000 UTC,137.82,142.32,141.33,bullish,
2026-01-19 00:00:00.000 UTC,133.36,141.86,141.55,bullish,
2026-01-20 00:00:00.000 UTC,125.66,137.47,141.55,bullish,price_support_cross
2026-01-21 00:00:00.000 UTC,129.43,136.08,141.55,bullish,
2026-01-22 00:00:00.000 UTC,128.35,133.34,138.41,bearish,
2026-01-23 00:00:00.000 UTC,127.28,130.88,137.02,bearish,
2026-01-24 00:00:00.000 UTC,127.02,129.46,134.26,bearish,
2026-01-25 00:00:00.000 UTC,118.74,123.92,131.79,bearish,
2026-01-26 00:00:00.000 UTC,124.11,123.98,130.35,bearish,
2026-01-27 00:00:00.000 UTC,127.02,124.61,124.77,bearish,
2026-01-28 00:00:00.000 UTC,125.17,124.70,124.77,bearish,
2026-01-29 00:00:00.000 UTC,117.63,123.52,124.77,bearish,
2026-01-30 00:00:00.000 UTC,117.42,121.81,124.77,bearish,
2026-01-31 00:00:00.000 UTC,105.45,115.48,124.38,bearish,
2026-02-01 00:00:00.000 UTC,100.67,109.39,122.65,bearish,
2026-02-02 00:00:00.000 UTC,104.46,107.80,116.28,bearish,
2026-02-03 00:00:00.000 UTC,97.75,104.68,110.15,bearish,
2026-02-04 00:00:00.000 UTC,91.93,98.68,108.54,bearish,
2026-02-05 00:00:00.000 UTC,78.20,86.86,105.40,bearish,
2026-02-06 00:00:00.000 UTC,87.39,87.07,99.36,bearish,
2026-02-07 00:00:00.000 UTC,87.55,87.24,87.46,bearish,
2026-02-08 00:00:00.000 UTC,86.94,87.13,87.46,bearish,
2026-02-09 00:00:00.000 UTC,86.72,87.02,87.46,bearish,
2026-02-10 00:00:00.000 UTC,82.95,85.93,87.46,bearish,
2026-02-11 00:00:00.000 UTC,79.26,83.37,87.46,bearish,
2026-02-12 00:00:00.000 UTC,78.34,81.66,86.52,bearish,
2026-02-13 00:00:00.000 UTC,84.29,82.01,83.95,bearish,
2026-02-14 00:00:00.000 UTC,88.03,83.41,82.23,bearish,price_support_cross
2026-02-15 00:00:00.000 UTC,86.10,83.52,82.23,bearish,
2026-02-16 00:00:00.000 UTC,86.41,83.62,82.81,bullish,
2026-02-17 00:00:00.000 UTC,85.05,83.70,82.92,bullish,
2026-02-18 00:00:00.000 UTC,81.57,83.41,83.03,bullish,
2026-02-19 00:00:00.000 UTC,82.47,83.40,83.11,bullish,
2026-02-20 00:00:00.000 UTC,84.64,83.61,83.11,bullish,
2026-02-21 00:00:00.000 UTC,85.17,83.96,83.11,bullish,
2026-02-22 00:00:00.000 UTC,82.75,83.89,83.11,bullish,
2026-02-23 00:00:00.000 UTC,77.88,81.62,83.36,bullish,price_support_cross
2026-02-24 00:00:00.000 UTC,78.97,80.89,83.36,bullish,
2026-02-25 00:00:00.000 UTC,88.06,81.19,82.19,bearish,
2026-02-26 00:00:00.000 UTC,85.90,81.29,81.44,bearish,
2026-02-27 00:00:00.000 UTC,81.84,81.29,81.44,bearish,
2026-02-28 00:00:00.000 UTC,84.36,81.43,81.44,bearish,
2026-03-01 00:00:00.000 UTC,83.60,81.48,81.44,bearish,price_support_cross
2026-03-02 00:00:00.000 UTC,86.64,81.65,81.44,bearish,
2026-03-03 00:00:00.000 UTC,86.98,82.19,81.44,bearish,
2026-03-04 00:00:00.000 UTC,93.75,86.29,81.44,bearish,
