trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2024-01-02T16:00:00.000Z,2024-01-03T00:00:00.000Z,short,107.67,108.11,-0.8173,0.8730,-0.4087,1.7461,2.5634,8.00,opposite_signal,2,10000.00,9918.27
2,2024-01-03T08:00:00.000Z,2024-01-04T12:00:00.000Z,short,103.42,103.66,-0.4641,5.8403,-0.2321,11.6805,12.1447,28.00,opposite_signal,2,9918.27,9872.24
3,2024-01-05T00:00:00.000Z,2024-01-08T12:00:00.000Z,short,100.95,94.67,12.4418,13.5711,-0.1981,27.1421,14.7003,84.00,opposite_signal,2,9872.24,11100.52
4,2024-01-10T12:00:00.000Z,2024-01-10T20:00:00.000Z,short,94.78,102,-15.2353,0.0000,-7.6176,0.0000,15.2353,8.00,opposite_signal,2,11100.52,9409.32
5,2024-01-12T00:00:00.000Z,2024-01-13T20:00:00.000Z,short,97.73,95.85,3.8473,6.8045,-1.1255,13.6089,9.7616,44.00,opposite_signal,2,9409.32,9771.33
6,2024-01-14T20:00:00.000Z,2024-01-15T00:00:00.000Z,short,93.81,95.9,-4.4558,0.0000,-2.2279,0.0000,4.4558,4.00,opposite_signal,2,9771.33,9335.94
7,2024-01-15T12:00:00.000Z,2024-01-15T16:00:00.000Z,short,93.51,96.01,-5.3470,0.0000,-2.6735,0.0000,5.3470,4.00,opposite_signal,2,9335.94,8836.75
8,2024-01-15T20:00:00.000Z,2024-01-16T00:00:00.000Z,short,94.36,96.19,-3.8788,0.0000,-1.9394,0.0000,3.8788,4.00,opposite_signal,2,8836.75,8493.99
9,2024-01-31T12:00:00.000Z,2024-01-31T20:00:00.000Z,long,101.55,96.96,-9.0399,0.0000,-4.5199,0.0000,9.0399,8.00,opposite_signal,2,8493.99,7726.14
10,2024-02-02T00:00:00.000Z,2024-02-03T12:00:00.000Z,long,98.97,98,-1.9602,3.0312,-0.9801,6.0624,8.0226,36.00,opposite_signal,2,7726.14,7574.70
11,2024-02-04T00:00:00.000Z,2024-02-04T04:00:00.000Z,long,98.35,96.51,-3.7417,0.0000,-1.8709,0.0000,3.7417,4.00,opposite_signal,2,7574.70,7291.27
12,2024-02-06T16:00:00.000Z,2024-02-06T20:00:00.000Z,long,97.58,96.88,-1.4347,0.0000,-0.7174,0.0000,1.4347,4.00,opposite_signal,2,7291.27,7186.66
13,2024-02-07T20:00:00.000Z,2024-02-12T00:00:00.000Z,long,101.14,106.27,10.1444,9.4226,-0.3065,18.8452,8.7008,100.00,opposite_signal,2,7186.66,7915.70
14,2024-02-12T12:00:00.000Z,2024-02-16T04:00:00.000Z,long,108.86,111.48,4.8135,7.6888,0.0000,15.3775,10.5640,88.00,opposite_signal,2,7915.70,8296.72
15,2024-02-18T08:00:00.000Z,2024-02-20T00:00:00.000Z,long,111.78,109.48,-4.1152,1.7087,-2.0576,3.4174,7.5327,40.00,opposite_signal,2,8296.72,7955.30
16,2024-02-25T04:00:00.000Z,2024-02-25T16:00:00.000Z,short,103.03,103.36,-0.6406,0.2426,-0.3203,0.4853,1.1259,12.00,opposite_signal,2,7955.30,7904.33
17,2024-02-26T08:00:00.000Z,2024-02-26T12:00:00.000Z,short,100.95,104.97,-7.9643,0.0000,-3.9822,0.0000,7.9643,4.00,opposite_signal,2,7904.33,7274.81
18,2024-03-03T08:00:00.000Z,2024-03-05T16:00:00.000Z,long,128.71,119.24,-14.7153,8.1346,-7.3576,16.2691,30.9844,56.00,opposite_signal,2,7274.81,6204.30
19,2024-03-06T04:00:00.000Z,2024-03-06T12:00:00.000Z,long,133.2,128.22,-7.4775,0.0000,-3.7387,0.0000,7.4775,8.00,opposite_signal,2,6204.30,5740.38
20,2024-03-06T16:00:00.000Z,2024-03-10T12:00:00.000Z,long,130.81,142.91,18.5001,13.8904,-0.0153,27.7808,9.2806,92.00,opposite_signal,2,5740.38,6802.35
21,2024-03-10T16:00:00.000Z,2024-03-11T00:00:00.000Z,long,145.11,141.17,-5.4304,0.0000,-2.7152,0.0000,5.4304,8.00,opposite_signal,2,6802.35,6432.96
22,2024-03-11T04:00:00.000Z,2024-03-16T16:00:00.000Z,long,147.85,180.08,43.5982,31.9445,-0.7981,63.8891,20.2908,132.00,opposite_signal,2,6432.96,9237.62
23,2024-03-17T00:00:00.000Z,2024-03-17T04:00:00.000Z,long,186.5,181.86,-4.9759,0.0000,-2.4879,0.0000,4.9759,4.00,opposite_signal,2,9237.62,8777.96
24,2024-03-17T08:00:00.000Z,2024-03-19T00:00:00.000Z,long,191.94,184.21,-8.0546,8.4089,-4.0273,16.8178,24.8724,40.00,opposite_signal,2,8777.96,8070.93
25,2024-03-27T08:00:00.000Z,2024-03-27T12:00:00.000Z,long,188.53,181.11,-7.8714,0.0000,-3.9357,0.0000,7.8714,4.00,opposite_signal,2,8070.93,7435.64
26,2024-03-28T20:00:00.000Z,2024-03-29T00:00:00.000Z,long,189.63,188.34,-1.3605,0.0000,-0.6803,0.0000,1.3605,4.00,opposite_signal,2,7435.64,7334.47
27,2024-03-29T20:00:00.000Z,2024-04-01T12:00:00.000Z,long,192.01,188.08,-4.0935,5.5049,-2.0468,11.0098,15.1034,64.00,opposite_signal,2,7334.47,7034.23
28,2024-04-03T08:00:00.000Z,2024-04-03T12:00:00.000Z,short,187.75,189.06,-1.3955,0.0000,-0.6977,0.0000,1.3955,4.00,opposite_signal,2,7034.23,6936.07
29,2024-04-03T16:00:00.000Z,2024-04-07T00:00:00.000Z,short,185.65,180.65,5.3865,8.5591,-0.7218,17.1182,11.7318,80.00,opposite_signal,2,6936.07,7309.68
30,2024-04-07T12:00:00.000Z,2024-04-08T04:00:00.000Z,short,179.64,180.15,-0.5678,1.7980,-0.2839,3.5961,4.1639,16.00,opposite_signal,2,7309.68,7268.18
31,2024-04-09T04:00:00.000Z,2024-04-14T20:00:00.000Z,short,175.62,151.25,27.7531,23.8526,-0.3360,47.7053,19.9522,136.00,opposite_signal,2,7268.18,9285.32
32,2024-04-15T12:00:00.000Z,2024-04-17T04:00:00.000Z,short,143.31,139.46,5.3730,10.9483,0.0000,21.8966,16.5236,40.00,opposite_signal,2,9285.32,9784.22
33,2024-04-17T08:00:00.000Z,2024-04-18T08:00:00.000Z,short,134.29,135.81,-2.2638,4.1552,-1.1319,8.3104,10.5741,24.00,opposite_signal,2,9784.22,9562.73
34,2024-04-27T20:00:00.000Z,2024-04-28T00:00:00.000Z,short,141.31,143.83,-3.5666,0.0000,-1.7833,0.0000,3.5666,4.00,opposite_signal,2,9562.73,9221.66
35,2024-04-28T08:00:00.000Z,2024-04-28T12:00:00.000Z,short,141.2,141.98,-1.1048,0.0000,-0.5524,0.0000,1.1048,4.00,opposite_signal,2,9221.66,9119.78
36,2024-04-28T20:00:00.000Z,2024-05-01T16:00:00.000Z,short,137.99,129.73,11.9719,12.6169,0.0000,25.2337,13.2618,68.00,opposite_signal,2,9119.78,10211.59
37,2024-05-19T16:00:00.000Z,2024-05-21T12:00:00.000Z,long,169.3,176.75,8.8009,10.6025,0.0000,21.2050,12.4040,44.00,opposite_signal,2,10211.59,11110.30
38,2024-05-21T20:00:00.000Z,2024-05-22T20:00:00.000Z,long,178.15,176.95,-1.3472,1.8187,-0.6736,3.6374,4.9846,24.00,opposite_signal,2,11110.30,10960.63
39,2024-05-23T00:00:00.000Z,2024-05-23T08:00:00.000Z,long,178.79,175.67,-3.4901,0.0000,-1.7451,0.0000,3.4901,8.00,opposite_signal,2,10960.63,10578.09
40,2024-05-30T12:00:00.000Z,2024-05-30T20:00:00.000Z,long,168.48,166.88,-1.8993,0.0000,-0.9497,0.0000,1.8993,8.00,opposite_signal,2,10578.09,10377.18
41,2024-05-31T04:00:00.000Z,2024-05-31T08:00:00.000Z,short,166.62,168.75,-2.5567,0.0000,-1.2784,0.0000,2.5567,4.00,opposite_signal,2,10377.18,10111.86
42,2024-05-31T12:00:00.000Z,2024-06-04T12:00:00.000Z,short,164.81,167.91,-3.7619,1.0254,-1.8810,2.0508,5.8128,96.00,opposite_signal,2,10111.86,9731.46
43,2024-06-06T20:00:00.000Z,2024-06-07T16:00:00.000Z,long,170.15,162.01,-9.5680,1.2048,-4.7840,2.4096,11.9777,20.00,opposite_signal,2,9731.46,8800.35
44,2024-06-12T16:00:00.000Z,2024-06-12T20:00:00.000Z,short,153.33,155.22,-2.4653,0.0000,-1.2326,0.0000,2.4653,4.00,opposite_signal,2,8800.35,8583.40
45,2024-06-13T00:00:00.000Z,2024-06-16T12:00:00.000Z,short,151.55,148.53,3.9855,6.4335,-0.3563,12.8670,8.8816,84.00,opposite_signal,2,8583.40,8925.49
46,2024-06-17T08:00:00.000Z,2024-06-20T08:00:00.000Z,short,143.94,139.34,6.3916,7.5587,-0.4377,15.1174,8.7259,72.00,opposite_signal,2,8925.49,9495.97
47,2024-06-20T12:00:00.000Z,2024-06-24T20:00:00.000Z,short,133.27,132.33,1.4107,6.0554,-1.3506,12.1108,10.7001,104.00,opposite_signal,2,9495.97,9629.92
48,2024-06-29T08:00:00.000Z,2024-06-29T16:00:00.000Z,long,142.66,141.72,-1.3178,0.0140,-0.6589,0.0280,1.3459,8.00,opposite_signal,2,9629.92,9503.02
49,2024-06-30T12:00:00.000Z,2024-07-03T04:00:00.000Z,long,143.83,146.4,3.5737,7.0917,0.0000,14.1834,10.6097,64.00,opposite_signal,2,9503.02,9842.63
50,2024-07-07T16:00:00.000Z,2024-07-07T20:00:00.000Z,long,137.33,131.64,-8.2866,0.0000,-4.1433,0.0000,8.2866,4.00,opposite_signal,2,9842.63,9027.01
51,2024-07-18T00:00:00.000Z,2024-07-18T12:00:00.000Z,long,158.93,156.37,-3.2215,0.3272,-1.6108,0.6544,3.8759,12.00,opposite_signal,2,9027.01,8736.20
52,2024-07-18T16:00:00.000Z,2024-07-23T04:00:00.000Z,long,156.98,176.06,24.3088,17.5245,0.0000,35.0491,10.7402,108.00,opposite_signal,2,8736.20,10859.86
