trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2024-01-02T12:00:00.000Z,2024-01-04T12:00:00.000Z,short,109.61,103.66,10.8567,11.1577,0.0000,22.3155,11.4588,48.00,opposite_signal,2,10000.00,11085.67
2,2024-01-05T00:00:00.000Z,2024-01-08T12:00:00.000Z,short,100.95,94.67,12.4418,13.5711,-0.1981,27.1421,14.7003,84.00,opposite_signal,2,11085.67,12464.92
3,2024-01-09T16:00:00.000Z,2024-01-10T20:00:00.000Z,short,99.29,102,-5.4588,4.5422,-2.7294,9.0845,14.5433,28.00,opposite_signal,2,12464.92,11784.49
4,2024-01-11T08:00:00.000Z,2024-01-11T12:00:00.000Z,long,104.43,100.79,-6.9712,0.0000,-3.4856,0.0000,6.9712,4.00,opposite_signal,2,11784.49,10962.98
5,2024-01-14T08:00:00.000Z,2024-01-14T12:00:00.000Z,short,96.74,99.49,-5.6853,0.0000,-2.8427,0.0000,5.6853,4.00,opposite_signal,2,10962.98,10339.69
6,2024-01-14T16:00:00.000Z,2024-01-16T04:00:00.000Z,short,96.14,97.73,-3.3077,2.7356,-1.6538,5.4712,8.7789,36.00,opposite_signal,2,10339.69,9997.69
7,2024-01-16T08:00:00.000Z,2024-01-17T00:00:00.000Z,short,96.7,99.96,-6.7425,0.0000,-3.3713,0.0000,6.7425,16.00,opposite_signal,2,9997.69,9323.60
8,2024-01-17T04:00:00.000Z,2024-01-17T08:00:00.000Z,short,97.32,102.02,-9.6589,0.0000,-4.8294,0.0000,9.6589,4.00,opposite_signal,2,9323.60,8423.04
9,2024-01-17T12:00:00.000Z,2024-01-17T16:00:00.000Z,short,99.38,100.79,-2.8376,0.0000,-1.4188,0.0000,2.8376,4.00,opposite_signal,2,8423.04,8184.03
10,2024-01-24T16:00:00.000Z,2024-01-24T20:00:00.000Z,short,86.37,88.77,-5.5575,0.0000,-2.7787,0.0000,5.5575,4.00,opposite_signal,2,8184.03,7729.20
11,2024-01-25T12:00:00.000Z,2024-01-26T08:00:00.000Z,short,86.41,91.95,-12.8226,0.0000,-6.4113,0.0000,12.8226,20.00,opposite_signal,2,7729.20,6738.12
12,2024-01-27T12:00:00.000Z,2024-01-28T16:00:00.000Z,long,92.83,94.49,3.5764,6.0002,0.0000,12.0004,8.4240,28.00,opposite_signal,2,6738.12,6979.10
13,2024-01-29T00:00:00.000Z,2024-01-29T04:00:00.000Z,long,97.85,96.72,-2.3097,0.0000,-1.1548,0.0000,2.3097,4.00,opposite_signal,2,6979.10,6817.91
14,2024-01-29T08:00:00.000Z,2024-01-30T20:00:00.000Z,long,97.44,101.4,8.1281,8.8567,0.0000,17.7135,9.5854,36.00,opposite_signal,2,6817.91,7372.08
15,2024-02-02T04:00:00.000Z,2024-02-02T16:00:00.000Z,long,101.21,99.46,-3.4582,0.7509,-1.7291,1.5018,4.9600,12.00,opposite_signal,2,7372.08,7117.14
16,2024-02-09T20:00:00.000Z,2024-02-10T20:00:00.000Z,long,106.94,109.01,3.8713,3.4879,0.0000,6.9759,3.1045,24.00,opposite_signal,2,7117.14,7392.67
17,2024-02-11T00:00:00.000Z,2024-02-11T04:00:00.000Z,long,109.43,109.22,-0.3838,0.0000,-0.1919,0.0000,0.3838,4.00,opposite_signal,2,7392.67,7364.29
18,2024-02-12T12:00:00.000Z,2024-02-13T12:00:00.000Z,long,108.86,110.31,2.6640,4.8503,0.0000,9.7005,7.0366,24.00,opposite_signal,2,7364.29,7560.48
19,2024-02-14T08:00:00.000Z,2024-02-15T04:00:00.000Z,long,115.66,115.01,-1.1240,1.3574,-0.5620,2.7149,3.8388,20.00,opposite_signal,2,7560.48,7475.50
20,2024-02-18T20:00:00.000Z,2024-02-19T00:00:00.000Z,short,112.24,111.68,0.9979,0.4989,0.0000,0.9979,0.0000,4.00,1d_trend_mismatch,2,7475.50,7550.09
21,2024-02-19T04:00:00.000Z,2024-02-19T08:00:00.000Z,long,113.22,112.67,-0.9716,0.0000,-0.4858,0.0000,0.9716,4.00,opposite_signal,2,7550.09,7476.74
22,2024-02-19T12:00:00.000Z,2024-02-19T16:00:00.000Z,long,113.69,111.94,-3.0785,0.0000,-1.5393,0.0000,3.0785,4.00,opposite_signal,2,7476.74,7246.56
23,2024-02-24T20:00:00.000Z,2024-02-26T12:00:00.000Z,short,104.01,104.97,-1.8460,2.9420,-0.9230,5.8840,7.7300,40.00,opposite_signal,2,7246.56,7112.79
24,2024-02-28T04:00:00.000Z,2024-02-28T16:00:00.000Z,long,110.08,111.34,2.2892,2.7162,0.0000,5.4324,3.1432,12.00,opposite_signal,2,7112.79,7275.62
25,2024-02-28T20:00:00.000Z,2024-03-01T20:00:00.000Z,long,119.03,129.43,17.4746,13.7276,0.0000,27.4553,9.9807,48.00,opposite_signal,2,7275.62,8547.01
26,2024-03-04T08:00:00.000Z,2024-03-04T12:00:00.000Z,long,132.58,131.77,-1.2219,0.0000,-0.6110,0.0000,1.2219,4.00,opposite_signal,2,8547.01,8442.57
27,2024-03-04T20:00:00.000Z,2024-03-05T00:00:00.000Z,long,133.27,130.13,-4.7122,0.0000,-2.3561,0.0000,4.7122,4.00,opposite_signal,2,8442.57,8044.74
28,2024-03-05T12:00:00.000Z,2024-03-05T16:00:00.000Z,long,139.18,119.24,-28.6535,0.0000,-14.3268,0.0000,28.6535,4.00,opposite_signal,2,8044.74,5739.64
29,2024-03-06T04:00:00.000Z,2024-03-06T12:00:00.000Z,long,133.2,128.22,-7.4775,0.0000,-3.7387,0.0000,7.4775,8.00,opposite_signal,2,5739.64,5310.46
30,2024-03-07T00:00:00.000Z,2024-03-08T20:00:00.000Z,long,138.19,144.79,9.5521,7.8081,0.0000,15.6162,6.0641,44.00,opposite_signal,2,5310.46,5817.71
31,2024-03-09T04:00:00.000Z,2024-03-09T08:00:00.000Z,long,148.33,146.82,-2.0360,0.0000,-1.0180,0.0000,2.0360,4.00,opposite_signal,2,5817.71,5699.26
32,2024-03-10T04:00:00.000Z,2024-03-10T08:00:00.000Z,long,148.27,145.42,-3.8443,0.0000,-1.9222,0.0000,3.8443,4.00,opposite_signal,2,5699.26,5480.17
33,2024-03-11T04:00:00.000Z,2024-03-11T12:00:00.000Z,long,147.85,147.06,-1.0687,0.2773,-0.5343,0.5546,1.6233,8.00,opposite_signal,2,5480.17,5421.60
34,2024-03-11T20:00:00.000Z,2024-03-12T08:00:00.000Z,long,148.83,150.45,2.1770,2.0359,0.0000,4.0718,1.8948,12.00,opposite_signal,2,5421.60,5539.63
