trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2024-01-02T12:00:00.000Z,2024-01-03T08:00:00.000Z,short,109.61,103.42,5.6473,5.6473,0.0000,5.6473,0.0000,20.00,take_profit_5pct,1,10000.00,10564.73
2,2024-01-05T00:00:00.000Z,2024-01-06T04:00:00.000Z,short,100.95,94.5,6.3893,6.3893,-0.1981,6.3893,0.0000,28.00,take_profit_5pct,1,10564.73,11239.74
3,2024-01-09T16:00:00.000Z,2024-01-10T20:00:00.000Z,short,99.29,102,-2.7294,4.5422,-2.7294,4.5422,7.2716,28.00,opposite_signal,1,11239.74,10932.97
4,2024-01-11T08:00:00.000Z,2024-01-11T12:00:00.000Z,long,104.43,100.79,-3.4856,0.0000,-3.4856,0.0000,3.4856,4.00,opposite_signal,1,10932.97,10551.89
5,2024-01-14T08:00:00.000Z,2024-01-14T12:00:00.000Z,short,96.74,99.49,-2.8427,0.0000,-2.8427,0.0000,2.8427,4.00,opposite_signal,1,10551.89,10251.93
6,2024-01-14T16:00:00.000Z,2024-01-16T04:00:00.000Z,short,96.14,97.73,-1.6538,2.7356,-1.6538,2.7356,4.3894,36.00,opposite_signal,1,10251.93,10082.38
7,2024-01-16T08:00:00.000Z,2024-01-17T00:00:00.000Z,short,96.7,99.96,-3.3713,0.0000,-3.3713,0.0000,3.3713,16.00,opposite_signal,1,10082.38,9742.48
8,2024-01-17T04:00:00.000Z,2024-01-17T08:00:00.000Z,short,97.32,102.02,-4.8294,0.0000,-4.8294,0.0000,4.8294,4.00,opposite_signal,1,9742.48,9271.97
9,2024-01-17T12:00:00.000Z,2024-01-17T16:00:00.000Z,short,99.38,100.79,-1.4188,0.0000,-1.4188,0.0000,1.4188,4.00,opposite_signal,1,9271.97,9140.42
10,2024-01-24T16:00:00.000Z,2024-01-24T20:00:00.000Z,short,86.37,88.77,-2.7787,0.0000,-2.7787,0.0000,2.7787,4.00,opposite_signal,1,9140.42,8886.43
11,2024-01-25T12:00:00.000Z,2024-01-26T08:00:00.000Z,short,86.41,91.95,-6.4113,0.0000,-6.4113,0.0000,6.4113,20.00,opposite_signal,1,8886.43,8316.70
12,2024-01-27T12:00:00.000Z,2024-01-28T08:00:00.000Z,long,92.83,98.4,6.0002,6.0002,0.0000,6.0002,0.0000,20.00,take_profit_5pct,1,8316.70,8815.72
13,2024-01-29T00:00:00.000Z,2024-01-29T04:00:00.000Z,long,97.85,96.72,-1.1548,0.0000,-1.1548,0.0000,1.1548,4.00,opposite_signal,1,8815.72,8713.91
14,2024-01-29T08:00:00.000Z,2024-01-30T04:00:00.000Z,long,97.44,102.89,5.5932,5.5932,0.0000,5.5932,0.0000,20.00,take_profit_5pct,1,8713.91,9201.30
15,2024-02-02T04:00:00.000Z,2024-02-02T16:00:00.000Z,long,101.21,99.46,-1.7291,0.7509,-1.7291,0.7509,2.4800,12.00,opposite_signal,1,9201.30,9042.20
16,2024-02-09T20:00:00.000Z,2024-02-10T20:00:00.000Z,long,106.94,109.01,1.9357,3.4879,0.0000,3.4879,1.5523,24.00,opposite_signal,1,9042.20,9217.23
17,2024-02-11T00:00:00.000Z,2024-02-11T04:00:00.000Z,long,109.43,109.22,-0.1919,0.0000,-0.1919,0.0000,0.1919,4.00,opposite_signal,1,9217.23,9199.54
18,2024-02-12T12:00:00.000Z,2024-02-13T12:00:00.000Z,long,108.86,110.31,1.3320,4.8503,0.0000,4.8503,3.5183,24.00,opposite_signal,1,9199.54,9322.08
19,2024-02-14T08:00:00.000Z,2024-02-15T04:00:00.000Z,long,115.66,115.01,-0.5620,1.3574,-0.5620,1.3574,1.9194,20.00,opposite_signal,1,9322.08,9269.69
20,2024-02-18T20:00:00.000Z,2024-02-19T00:00:00.000Z,short,112.24,111.68,0.4989,0.4989,0.0000,0.4989,0.0000,4.00,1d_trend_mismatch,1,9269.69,9315.94
21,2024-02-19T04:00:00.000Z,2024-02-19T08:00:00.000Z,long,113.22,112.67,-0.4858,0.0000,-0.4858,0.0000,0.4858,4.00,opposite_signal,1,9315.94,9270.68
22,2024-02-19T12:00:00.000Z,2024-02-19T16:00:00.000Z,long,113.69,111.94,-1.5393,0.0000,-1.5393,0.0000,1.5393,4.00,opposite_signal,1,9270.68,9127.98
23,2024-02-24T20:00:00.000Z,2024-02-26T12:00:00.000Z,short,104.01,104.97,-0.9230,2.9420,-0.9230,2.9420,3.8650,40.00,opposite_signal,1,9127.98,9043.73
24,2024-02-28T04:00:00.000Z,2024-02-28T16:00:00.000Z,long,110.08,111.34,1.1446,2.7162,0.0000,2.7162,1.5716,12.00,opposite_signal,1,9043.73,9147.25
25,2024-02-28T20:00:00.000Z,2024-02-29T04:00:00.000Z,long,119.03,125.49,5.4272,5.4272,0.0000,5.4272,0.0000,8.00,take_profit_5pct,1,9147.25,9643.69
26,2024-03-04T08:00:00.000Z,2024-03-04T12:00:00.000Z,long,132.58,131.77,-0.6110,0.0000,-0.6110,0.0000,0.6110,4.00,opposite_signal,1,9643.69,9584.77
27,2024-03-04T20:00:00.000Z,2024-03-05T00:00:00.000Z,long,133.27,130.13,-2.3561,0.0000,-2.3561,0.0000,2.3561,4.00,opposite_signal,1,9584.77,9358.94
28,2024-03-05T12:00:00.000Z,2024-03-05T16:00:00.000Z,long,139.18,119.24,-14.3268,0.0000,-14.3268,0.0000,14.3268,4.00,opposite_signal,1,9358.94,8018.10
29,2024-03-06T04:00:00.000Z,2024-03-06T12:00:00.000Z,long,133.2,128.22,-3.7387,0.0000,-3.7387,0.0000,3.7387,8.00,opposite_signal,1,8018.10,7718.33
30,2024-03-07T00:00:00.000Z,2024-03-07T12:00:00.000Z,long,138.19,145.91,5.5865,5.5865,0.0000,5.5865,0.0000,12.00,take_profit_5pct,1,7718.33,8149.51
31,2024-03-09T04:00:00.000Z,2024-03-09T08:00:00.000Z,long,148.33,146.82,-1.0180,0.0000,-1.0180,0.0000,1.0180,4.00,opposite_signal,1,8149.51,8066.55
32,2024-03-10T04:00:00.000Z,2024-03-10T08:00:00.000Z,long,148.27,145.42,-1.9222,0.0000,-1.9222,0.0000,1.9222,4.00,opposite_signal,1,8066.55,7911.50
33,2024-03-11T04:00:00.000Z,2024-03-11T12:00:00.000Z,long,147.85,147.06,-0.5343,0.2773,-0.5343,0.2773,0.8116,8.00,opposite_signal,1,7911.50,7869.23
34,2024-03-11T20:00:00.000Z,2024-03-12T08:00:00.000Z,long,148.83,150.45,1.0885,2.0359,0.0000,2.0359,0.9474,12.00,opposite_signal,1,7869.23,7954.88
35,2024-03-13T08:00:00.000Z,2024-03-13T16:00:00.000Z,long,153.73,161.44,5.0153,5.0153,0.0000,5.0153,0.0000,8.00,take_profit_5pct,1,7954.88,8353.84
36,2024-03-14T20:00:00.000Z,2024-03-15T08:00:00.000Z,long,176.65,170,-3.7645,0.0000,-3.7645,0.0000,3.7645,12.00,opposite_signal,1,8353.84,8039.36
37,2024-03-15T12:00:00.000Z,2024-03-16T04:00:00.000Z,long,181.84,192.94,6.1043,6.1043,0.0000,6.1043,0.0000,16.00,take_profit_5pct,1,8039.36,8530.11
38,2024-03-17T08:00:00.000Z,2024-03-17T20:00:00.000Z,long,191.94,201.86,5.1683,5.1683,0.0000,5.1683,0.0000,12.00,take_profit_5pct,1,8530.11,8970.97
39,2024-03-28T20:00:00.000Z,2024-03-29T00:00:00.000Z,long,189.63,188.34,-0.6803,0.0000,-0.6803,0.0000,0.6803,4.00,opposite_signal,1,8970.97,8909.94
40,2024-03-29T20:00:00.000Z,2024-03-30T20:00:00.000Z,long,192.01,194.2,1.1406,2.9946,0.0000,2.9946,1.8541,24.00,opposite_signal,1,8909.94,9011.56
41,2024-03-31T04:00:00.000Z,2024-03-31T08:00:00.000Z,long,196.74,195.83,-0.4625,0.0000,-0.4625,0.0000,0.4625,4.00,opposite_signal,1,9011.56,8969.88
42,2024-03-31T16:00:00.000Z,2024-04-01T04:00:00.000Z,long,200.13,197.96,-1.0843,1.2242,-1.0843,1.2242,2.3085,12.00,opposite_signal,1,8969.88,8872.62
43,2024-04-03T08:00:00.000Z,2024-04-05T04:00:00.000Z,short,187.75,175.04,6.7696,6.7696,-0.6977,6.7696,0.0000,44.00,take_profit_5pct,1,8872.62,9473.26
44,2024-04-07T04:00:00.000Z,2024-04-08T08:00:00.000Z,short,179.75,182.74,-1.6634,1.8581,-1.6634,1.8581,3.5216,28.00,opposite_signal,1,9473.26,9315.68
45,2024-04-08T12:00:00.000Z,2024-04-10T00:00:00.000Z,short,181.46,171.39,5.5494,5.5494,0.0000,5.5494,0.0000,36.00,take_profit_5pct,1,9315.68,9832.65
46,2024-04-15T12:00:00.000Z,2024-04-16T00:00:00.000Z,short,143.31,134.6,6.0777,6.0777,0.0000,6.0777,0.0000,12.00,take_profit_5pct,1,9832.65,10430.25
47,2024-04-17T08:00:00.000Z,2024-04-18T12:00:00.000Z,short,134.29,138.99,-3.4999,4.1552,-3.4999,4.1552,7.6551,28.00,opposite_signal,1,10430.25,10065.21
48,2024-04-19T00:00:00.000Z,2024-04-19T04:00:00.000Z,short,136.54,143.32,-4.9656,0.0000,-4.9656,0.0000,4.9656,4.00,opposite_signal,1,10065.21,9565.41
