trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2025-12-19T09:00:00.000Z,2025-12-23T05:00:00.000Z,short,126.16,123.3,2.2670,2.2670,-1.4743,2.2670,0.0000,92.00,opposite_signal,1,10000.00,10226.70
2,2025-12-27T17:00:00.000Z,2025-12-30T05:00:00.000Z,short,124.05,125.03,-0.7900,0.9029,-3.5470,0.9029,1.6929,60.00,opposite_signal,1,10226.70,10145.90
3,2026-01-07T13:00:00.000Z,2026-01-08T17:00:00.000Z,long,136.27,140.64,3.2069,3.2069,-1.2255,3.2069,0.0000,28.00,opposite_signal,1,10145.90,10471.27
4,2026-01-10T05:00:00.000Z,2026-01-11T09:00:00.000Z,long,136.25,139.27,2.2165,2.2165,-0.4183,2.2165,0.0000,28.00,opposite_signal,1,10471.27,10703.37
5,2026-01-15T09:00:00.000Z,2026-01-18T17:00:00.000Z,long,141.51,133.88,-5.3918,2.3461,-5.3918,2.3461,7.7380,80.00,stop_loss_5pct,1,10703.37,10126.26
6,2026-01-23T13:00:00.000Z,2026-01-28T17:00:00.000Z,short,127.28,122.88,3.4569,7.4246,-0.5657,7.4246,3.9676,124.00,opposite_signal,1,10126.26,10476.32
7,2026-01-30T09:00:00.000Z,2026-02-03T13:00:00.000Z,short,118.12,97.75,17.2452,17.2452,-0.0762,17.2452,0.0000,100.00,opposite_signal,1,10476.32,12282.98
8,2026-02-06T01:00:00.000Z,2026-02-06T09:00:00.000Z,short,81.28,87,-7.0374,0.0000,-7.0374,0.0000,7.0374,8.00,stop_loss_5pct,1,12282.98,11418.58
9,2026-02-12T01:00:00.000Z,2026-02-14T01:00:00.000Z,short,81.86,87.25,-6.5844,5.2529,-6.5844,5.2529,11.8373,48.00,stop_loss_5pct,1,11418.58,10666.73
10,2026-02-22T09:00:00.000Z,2026-02-22T17:00:00.000Z,long,83.27,77.64,-6.7611,0.0000,-6.7611,0.0000,6.7611,8.00,stop_loss_5pct,1,10666.73,9945.54
11,2026-02-28T09:00:00.000Z,2026-02-28T17:00:00.000Z,short,82.22,88.01,-7.0421,0.0000,-7.0421,0.0000,7.0421,8.00,stop_loss_5pct,1,9945.54,9245.16
12,2026-03-09T10:00:00.000Z,2026-03-11T22:00:00.000Z,short,85.07,85.02,0.0588,0.6348,-3.8556,0.6348,0.5760,60.00,opposite_signal,1,9245.16,9250.60
